"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-05-01","Protests","Protest with intervention","Protesters (Philippines)","Labour Group (Philippines)","Police Forces of the Philippines (2016-)","","Protesters (Philippi","Labour Group (Philip","Police Forces of the","nan","Bicol Region","Albay","Legazpi","Legazpi","13.1413","123.7407","2","Philippine Daily Inquirer","National","0","Labour Day protests were staged in Albay province on May 1. There were reports that authorities tried to block or delay the protests."
"2018-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines); Students (Philippines); Health Workers (Philippines); Teachers (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","CAR","Benguet","Baguio","Baguio","16.4164","120.5931","1","Philippine Daily Inquirer","National","0","Around 150 teachers, jeepney drivers, health workers, and students held their Labour Day march near Session Road in Baguio City, Benguet on 1 May. They demanded the end of labour contractualization."
"2018-05-01","Protests","Protest with intervention","Protesters (Philippines)","Labour Group (Philippines)","Police Forces of the Philippines (2016-)","","Protesters (Philippi","Labour Group (Philip","Police Forces of the","nan","Calabarzon","Cavite","Imus","Imus","14.4297","120.9366","2","Philippine Daily Inquirer","National","0","Labour Day protests were staged in Cavite province on May 1. There were reports that authorities tried to block or delay the protests."
"2018-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Central Visayas","Cebu","Cebu City","Cebu City","10.3167","123.8907","1","Philippine Daily Inquirer","National","0","Labour Day protests were staged by members of militant and labour groups in Cebu City on May 1. The protesters demanded wage increases, more jobs, and an end to labour contractualization."
"2018-05-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","Cabanatuan","Cabanatuan","15.4858","120.9664","1","Philippine News Agency","National","2","Two drug suspects were killed during a police raid in Cabanatuan City, Nueva Ecija on 1 May."
"2018-05-01","Protests","Peaceful protest","Protesters (Philippines)","KMU: Kilusang Mayo Uno; Labour Group (Philippines)","","","Protesters (Philippi","KMU: Kilusang Mayo U","nan","nan","Davao Region","Davao del Sur","Davao City","Davao City","7.0731","125.6128","1","Philippine Daily Inquirer","National","0","Labour Day protests were staged by 3,000 members of militant and labour groups, led by Kilusang Mayo Uno, in Davao City, Davao del Sur on May 1. The protesters demanded wage increases, more jobs and an end to labour contractualization."
"2018-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Western Visayas","Iloilo","Iloilo City","Iloilo City","10.6969","122.5644","1","Philippine Daily Inquirer","National","0","Labour Day protests were staged by members of militant and labour groups in Iloilo City on May 1. The protesters demanded wage increases, more jobs and an end to labour contractualization."
"2018-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Eastern Visayas","Leyte","Tacloban","Tacloban","11.2433","125.0047","1","Philippine Daily Inquirer","National","0","Labour Day protests were staged by members of militant and labour groups in Tacloban City on May 1. The protesters demanded wage increases, more jobs and an end to labour contractualization."
"2018-05-01","Protests","Protest with intervention","Protesters (Philippines)","Labour Group (Philippines)","Police Forces of the Philippines (2016-)","","Protesters (Philippi","Labour Group (Philip","Police Forces of the","nan","Bicol Region","Masbate","Masbate City","Masbate City","12.3716","123.6249","2","Philippine Daily Inquirer","National","0","Labour Day protests were staged in Masbate province on May 1. There were reports that authorities tried to block or delay the protests."
"2018-05-01","Protests","Protest with intervention","Protesters (Philippines)","Labour Group (Philippines)","Police Forces of the Philippines (2016-)","","Protesters (Philippi","Labour Group (Philip","Police Forces of the","nan","Caraga","Surigao del Sur","Tandag","Tandag","9.0783","126.1986","2","Philippine Daily Inquirer","National","0","Labour Day protests were staged in Surigao del Sur province on May 1. There were reports that authorities tried to block or delay the protests"
"2018-05-01","Protests","Protest with intervention","Protesters (Philippines)","Labour Group (Philippines)","Police Forces of the Philippines (2016-)","","Protesters (Philippi","Labour Group (Philip","Police Forces of the","nan","Northern Mindanao","Misamis Occidental","Oroquieta","Oroquieta","8.4859","123.8048","2","Philippine Daily Inquirer","National","0","Labour Day protests were staged in Misamis Occidental province on May 1. There were reports that authorities tried to block or delay the protests."
"2018-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Western Visayas","Negros Occidental","Bacolod","Bacolod","10.6666","122.95","1","Philippine Daily Inquirer","National","0","Labour Day protests were staged by members of militant and labour groups in Bacolod, Negros Occidental on May 1. The protesters demanded wage increases, more jobs and an end to labour contractualization."
