"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2019-07-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-)","NPA: New People's Ar","nan","Military Forces of t","Police Forces of the","Bicol Region","Camarines Sur","Lupi","San Vicente","13.9179","122.8872","1","Manila Bulletin","National","2","Two NPA rebels were killed in an attack by soldiers from the 9th Infantry Battalion and police officers at Barangay San Vicente, Lupi town, Camarines Sur province on July 1, 2019."
"2019-07-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Ilocos Region","Pangasinan","Dagupan","Dagupan","16.0431","120.3332","2","Philippine Daily Inquirer","National","1","A town official was killed by unidentified assailants at Barangay Dagupan, San Mateo town, Isabela province on July 1, 2019."
"2019-07-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","Military Forces of the Philippines (2016-) Scout Ranger","NPA: New People's Ar","nan","Military Forces of t","Military Forces of t","Davao Region","Davao del Sur","Kiblawan","Abnate","6.6618","125.1867","1","Sunstar (Philippines)","National","0","Three soldiers from the 39th Infantry Battalion and 2nd Scout Ranger Battalion were wounded in an attack by NPA rebels at Barangay Abnate, Kiblawan town, Davao del Sur province on July 1, 2019."
"2019-07-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Santa Maria","Bagbaguin","14.8064","120.9613","1","Philippine News Agency","National","2","Two drug suspects were killed in a police raid at Barangay Bagbaguin, Santa Maria town, Bulacan province on July 1, 2019."
"2019-07-01","Riots","Violent demonstration","Rioters (Philippines)","Government of the Philippines (2016-)","","","Rioters (Philippines","Government of the Ph","nan","nan","Cagayan Valley","Nueva Vizcaya","Kasibu","Didipio","16.4076","121.4356","1","Bulatlat","National","0","On 1 Jul 2019, in Kasibu, Nueva Vizcaya, residents and village officials set up a barricade along the access road of Oceanagold in Barangay Didipio to demonstrate against the mining company's continuous operation amid an expired Financial and Technical Assistance Agreement (FTAA) with the government. [size=50 to 100]"
"2019-07-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Central Visayas","Negros Oriental","Bindoy","Nalundan","9.8174","122.9955","1","Sunstar (Philippines)","National","0","Soldiers from the 11th Infantry Battalion attacked NPA rebels at Barangay Nalundan, Bindoy town, Negros Oriental province on July 2, 2019."
"2019-07-02","Violence against civilians","Attack","NPA: New People's Army","","Civilians (Philippines)","Farmers (Philippines)","NPA: New People's Ar","nan","Civilians (Philippin","Farmers (Philippines","Western Visayas","Negros Occidental","Ilog","Canlamay","9.7576","122.7125","1","Sunstar (Philippines)","National","1","A farmer was killed by suspected NPA rebels at Barangay Canlamay, Ilog town, Negros Occidental province on July 2, 2019."
"2019-07-02","Protests","Peaceful protest","Protesters (Philippines)","Kalikasan People's Network for the Environment","","","Protesters (Philippi","Kalikasan People's N","nan","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Bulatlat","National","0","On 2 Jul 2019, in Quezon City, Metro Manila, the Kalikasan People's Network Alliance for the Environment (Kalikasan PNE) staged a protest at the Mines and Geosciences Bureau (MGB) to protest against Oceanagold's continuous mining operation amid an expired Financial and Technical Assistance Agreement (FTAA) with the government. [size=no report]"
"2019-07-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Former Government of","Zamboanga Peninsula","Basilan","Isabela City","Isabela City","6.704","121.9711","1","Sunstar (Philippines)","National","1","A former town treasurer was killed in an attack by unidentified assailants at Barangay Sumagdang, Isabela City, Basilan province on July 2, 2019."
"2019-07-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Negros Occidental","Sagay City","Sagay City","10.9447","123.4241","1","Sunstar (Philippines)","National","1","A drug suspect was killed in a vigilante-style attack by unidentified assailants at Barangay Poblacion 2, Sagay City, Negros Occidental province on July 2, 2019."
"2019-07-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-)","NPA: New People's Ar","nan","Military Forces of t","Police Forces of the","Mimaropa Region","Oriental Mindoro","Victoria","Loyal","13.1508","121.2213","1","Business Mirror (Philippines)","National","1","An NPA rebel was killed in two attacks by soldiers from the 76th Infantry Battalion and police officers at Barangay Loyal, Victoria town, Oriental Mindoro province on July 3, 2019."
"2019-07-03","Battles","Armed clash","NPA: New People's Army","","NPA: New People's Army","","NPA: New People's Ar","nan","NPA: New People's Ar","nan","Northern Mindanao","Misamis Oriental","Lagonglong","Banglay","8.7939","124.832","1","Sunstar (Philippines)","National","1","An NPA rebel who was about to surrender to the military was allegedly killed by other NPA rebels at Barangay Banglay, Lagonglong town, Misamis Oriental province in the week of July 3, 2019."
"2019-07-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","San Antonio","San Francisco","15.3584","120.8241","1","Philippine Star","National","1","A drug suspect was killed in a police raid at Barangay San Francisco, San Antonio town, Nueva Ecija province at either July 2 or 3, 2019."
