"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2017-09-01","Violence against civilians","Attack","Military Forces of the Philippines (2016-)","","Civilians (Philippines)","Farmers (Philippines); KMP: Kilusang Magbubukid ng Pilipinas","Military Forces of t","nan","Civilians (Philippin","Farmers (Philippines","Central Visayas","Negros Oriental","Dumaguete","Dumaguete","9.3064","123.3066","2","Karapatan","Other","0","A peasant leader and member of Kaugmaon-KMP was attacked on 1 Sept 2017 in Dumaguete city area, Negros Oriental. This was the first attempt to kill him by suspected state agents as reported by human rights organization Karapatan."
"2017-09-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Cagayan Valley","Nueva Vizcaya","Kasibu","Pacquet","16.3115","121.3429","1","Manila Times","National","4","At least four Philippine Army soldiers of the 84th Infantry Battalion were confirmed dead in an encounter between government troops and the communist New People's Army (NPA) rebels in the remote Sitio (sub-village) of Bilongay in Barangay Paquet, Kasibu town area in southern Nueva Vizcaya on Friday (Sept 1). The fighting lasted from morning until noon. It was not reported if there were casualties among the communist rebels."
"2017-09-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Pasig","Pasig","14.5869","121.0614","1","Foundation for Media Alternatives; Philippine Daily Inquirer","Local partner-National","2","A drug suspect and his live-in partner were shot dead by suspected vigilantes on motorbikes in Pasig City on Friday night (Sept 1)."
"2017-09-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Malabon","Malabon","14.6665","120.9653","1","Philippine Daily Inquirer; Foundation for Media Alternatives","Local partner-National","2","A drug suspect and his female companion were shot dead by suspected vigilantes on motorbikes at Barangay Concepcion in Malabon City, Manila on Friday night (Sept 1)."
"2017-09-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-) Regional Intelligence Unit","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","Police Forces of the","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Iloilo","Iloilo City","Iloilo City","10.6969","122.5644","1","Foundation for Media Alternatives; Philippine News Agency","Local partner-National","2","A drug lord and his unidentified associate were shot and killed in a police and regional intelligence agent raid in Barangay Balabago, Jaro District of Iloilo City, Iloilo on Sep 1."
"2017-09-01","Battles","Armed clash","Maute Group","ASG: Abu Sayyaf","Military Forces of the Philippines (2016-)","","Maute Group","ASG: Abu Sayyaf","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Philippine Star; Manila Bulletin","National","5","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on September 1 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. The Philippine military said it has seized control of Bayabao Bridge in Banggolo. According to government sources, as of Sept 5 the ongoing military operations left at least 826 people dead - 636 militants, 145 government security forces and 45 civilians. (25 fatalities have been divided for the days from September 1 to September 5.)"
"2017-09-01","Strategic developments","Agreement","Military Forces of the Philippines (2016-)","","NPA: New People's Army","","Military Forces of t","nan","NPA: New People's Ar","nan","Soccsksargen","Cotabato","Arakan","Arakan","7.3548","125.1473","2","Philippine Star","National","0","A senior commander of the New People's Army Guerilla Front 53 surrendered on September 1 to the Army's 39th Infantry Battalion in a clandestine meeting in Arakan town in North Cotabato that Lumad elders and local officials brokered."
"2017-09-02","Explosions/Remote violence","Air/drone strike","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","nan","Military Forces of t","nan","BARMM","Maguindanao","Shariff Aguak","Shariff Aguak","6.8647","124.4417","2","Business Mirror (Philippines); Manila Times","National","5","A series of air strikes launched by the Joint Task Force (JTF) Central in Maguindanao province killed at least 10 bandits belonging to the outlawed Bangsamoro Islamic Freedom Fighters (BIFF) over the weekend of September 2 and September 3. An undetermined number of BIFF fighters was wounded. (5 fatalities recorded for each day since it is not clear when and where they occurred.)"
"2017-09-02","Violence against civilians","Attack","Military Forces of the Philippines (2016-)","","Civilians (Philippines)","Farmers (Philippines); Women (Philippines)","Military Forces of t","nan","Civilians (Philippin","Farmers (Philippines","Davao Region","Davao del Sur","Davao City","Davao City","7.0731","125.6128","1","Philippine Daily Inquirer; ProtectDefenders.eu; Front Line Defenders","Local partner-Other","2","Two female members of the Farmers' Association of Davao City (FADC) were gunned down by suspected military agents of the Army's 84th and 3rd Infantry Battalions at Tamayong village in Calinan district, Davao City, Davao del Sur, on 2 Sept 2017 according to the human rights group Karapatan. The military refutes the claims."
"2017-09-02","Battles","Armed clash","Maute Group","ASG: Abu Sayyaf","Military Forces of the Philippines (2016-)","","Maute Group","ASG: Abu Sayyaf","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Philippine Star","National","5","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on September 2 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. According to government sources, as of Sept 5 the ongoing military operations left at least 826 people dead - 636 militants, 145 government security forces and 45 civilians. (25 fatalities have been divided for the days from September 1 to September 5.)"
"2017-09-02","Explosions/Remote violence","Air/drone strike","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","nan","Military Forces of t","nan","BARMM","Maguindanao","Buldon","Buldon","7.4802","124.3959","2","Business Mirror (Philippines)","National","0","The Joint Task Force (JTF) Central in Maguindanao launched air strikes in the municipality of Buldon area against the outlawed Bangsamoro Islamic Freedom Fighters (BIFF) over the weekend of September 2 and September 3."
"2017-09-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Mandaluyong","Mandaluyong","14.5832","121.0409","1","Journal (Philippines); Foundation for Media Alternatives","Local partner-National","1","A drug suspect was killed during a police raid at Mandaluyong, Metro Manila on 03 Sep 2017."
"2017-09-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Manila Bulletin; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was killed in a vigilante-style attack by unidentified motorcycle-riding assailants at Manila, Metro Manila on 03 Sep 2017."
"2017-09-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","ABS CBN; Foundation for Media Alternatives","Local partner-National","1","A civilian was killed in a vigilante-style attack by unidentified motorcycle-riding assailants at Manila, Metro Manila on 03 Sep 2017. The incident is being investigated if it is related to drugs."
