"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2019-02-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Negros Occidental","Sagay City","Sagay City","10.9447","123.4241","1","Sunstar (Philippines)","National","1","A drug suspect was killed during a police raid in Barangay Poblacion I, Sagay City, Negros Occidental province on February 1, 2019."
"2019-02-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Calamba","Calamba","14.2117","121.1653","1","Philippine Daily Inquirer","National","1","A drug suspect was killed in a police raid at Barangay Mayapa, Calamba City, Laguna province on February 1, 2019."
"2019-02-02","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","nan","Military Forces of t","nan","BARMM","Maguindanao","Sultan sa Barongis","Tugal","6.9085","124.6695","1","Manila Bulletin","National","0","Ground, air, and artillery operations were launched at the hiding places of BIFF rebels in Barangay Tugal, Sultan sa Barongis town, Maguindanao province on February 2, 2019."
"2019-02-02","Battles","Armed clash","ASG: Abu Sayyaf","","Military Forces of the Philippines (2016-) Scout Ranger","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Sulu","Patikul","Kabbon Takas","6.0463","121.078","1","ABS CBN","National","8","Five soldiers from the 5th Scout Ranger Battalion and three Abu Sayyaf rebels were killed during an attack by Scout Rangers on the Abu Sayyaf at Barangay Kabbon Takas, Patikul town, Sulu province on February 2, 2019. Eighteen soldiers and fifteen Abu Sayyaf rebels were wounded."
"2019-02-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Binan","Binan","14.3426","121.0807","1","Philippine Star","National","1","A drug suspect was shot and killed during a police raid in Barangay De La Paz, Binan town, Laguna province on February 3, 2019."
"2019-02-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Santa Rosa","Santa Rosa","14.3122","121.1113","1","Philippine Star","National","1","A drug suspect was shot and killed during a police raid in Barangay Tagapo, Santa Rosa town, Laguna province on February 3, 2019."
"2019-02-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Northern Mindanao","Misamis Oriental","Initao","Poblacion","8.5026","124.3066","1","Sunstar (Philippines)","National","1","A drug suspect was shot and killed during a police raid at Barangay Poblacion, Initao town, Misamis Oriental province on the weekend of February 3, 2019."
"2019-02-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency","Civilians (China)","Drug Suspects (China)","Police Forces of the","Police Forces of the","Civilians (China)","Drug Suspects (China","Calabarzon","Cavite","Tanza","Amaya I","14.3827","120.825","1","Philippine Star","National","2","Two drug suspects from China were killed during a joint police-PDEA raid at Barangay Amaya I, Tanza town, Cavite province on February 3, 2019."
"2019-02-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Bicol Region","Masbate","Masbate City","Masbate City","12.3716","123.6249","1","Philippine Daily Inquirer","National","0","A village chairman was shot and killed by unidentified assailants at Masbate City, Masbate province on the weekend of February 3, 2019."
"2019-02-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines); Police Forces of the Philippines (2016-)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Rizal","Angono","San Roque","14.5409","121.1694","1","Philippine Star","National","1","A police officer accused of drug dealing was shot and killed in Barangay San Roque while driving to Angono town, Rizal province on February 4, 2019."
"2019-02-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Valenzuela","Valenzuela","14.7166","120.9666","1","Philippine Star","National","1","A drug suspect was shot and killed during a police raid at Barangay Canumay West, Valenzuela City, Metro Manila on February 4, 2019."
"2019-02-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines); Police Forces of the Philippines (2016-)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Binan","Binan","14.3426","121.0807","1","Philippine Star","National","1","A police officer accused of drug dealing was shot and killed in Barangay San Vicente, Binan town, Laguna province on February 4, 2019."
"2019-02-05","Battles","Armed clash","ASG: Abu Sayyaf","","Military Forces of the Philippines (2016-)","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Tawi-Tawi","Bongao","Lapid-Lapid","5.0977","119.828","1","Sunstar (Philippines)","National","1","An Abu Sayyaf rebel was killed during an attack by the military at Barangay Lapid-Lapid, Bongao town, Tawi-Tawi province on February 5, 2019."
"2019-02-05","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","Northern Mindanao","Lanao del Norte","Sultan Naga Dimaporo","Sultan Naga Dimaporo","7.7835","123.7442","1","Philippine Daily Inquirer","National","0","Unidentified armed men set off explosives at Sultan Naga Dimaporo town, Lanao del Norte province on February 5, 2019 (the eve of Bangsamaro law plebiscite). The governor accused the MILF of perpetrating the attacks. The MILF denied these accusations, however, as they stand to benefit from the passage of the law."
