"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2016-09-01","Protests","Peaceful protest","Protesters (Philippines)","","","","Protesters (Philippi","nan","nan","nan","NCR","Metro Manila","Pasay","Pasay","14.5374","121.0014","1","Cambodia News Gazette","Regional","0","Animal rights activists held a demonstration against dolphin slaughter in front of the Japanese consulate at Pasay City, Metro Manila on September 1."
"2016-09-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Santa Maria","San Vicente","14.8091","121.0048","1","Abante; Philippine Star","National","1","A drug suspect was killed in a vigilante-style attack by unidentified assailants at his house in Barangay San Vicente, Santa Maria town, Bulacan on September 1."
"2016-09-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Ilocos Region","Pangasinan","Binalonan","Linmansangan","16.0502","120.5962","1","Philippine Star","National","1","A drug suspect was killed during a police operation at Barangay Linmansangan, Binalonan town, Pangasinan on September 1."
"2016-09-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid at Manila, Metro Manila on 1 Sept 2016 as reported in the Philippine Daily Inquirer Kill List."
"2016-09-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","Aliaga","Umangan","15.5177","120.9157","1","Foundation for Media Alternatives; Philippine Daily Inquirer","Local partner-National","1","A drug suspect was killed during a police raid at Barangay Umangan, Aliaga town, Nueva Ecija on 1 Sept 2016."
"2016-09-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Lapu-Lapu","Lapu-Lapu","10.2841","123.9945","1","Philippine Daily Inquirer; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was killed during a police raid at Lapu Lapu City, Cebu on 1 Sept 2016 as reported in the Philippine Daily Inquirer Kill List."
"2016-09-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Philippine Daily Inquirer","National","1","A drug suspect was killed in a vigilante-style attack by unidentified armed men at Quezon City, Metro Manila on 1 Sept 2016 as reported in the Philippine Daily Inquirer Kill List."
"2016-09-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Cagayan Valley","Cagayan","Tuguegarao","Tuguegarao","17.6157","121.7228","1","Philippine Star","National","1","A drug suspect was killed in a vigilante-style attack by unidentified assailants in Barangay Balzain, Tuguegarao City, Cagayn on September 1."
"2016-09-01","Strategic developments","Other","Civilians (Philippines)","Refugees/IDPs (Philippines)","","","Civilians (Philippin","Refugees/IDPs (Phili","nan","nan","BARMM","Sulu","Jolo","Jolo","6.0522","121.0022","2","Anadolu Agency","International","0","Displacement: Approximately 5,045 individuals from 1,102 families were displaced by the fighting between the Abu Sayyaf group and the military in Sulu, Autonomous Region in Muslim Mindanao on September 1."
"2016-09-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Pasay","Pasay","14.5374","121.0014","1","Foundation for Media Alternatives; Philippine Daily Inquirer","Local partner-National","1","A drug suspect was killed in a vigilante-style attack by unidentified armed men at Pasay City, Metro Manila on 1 Sept 2016 as reported in the Philippine Daily Inquirer Kill List."
