"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2020-06-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Caraga","Surigao del Norte","Sison","Biyabid","9.6323","125.4974","1","Mindanao Goldstar Daily; Manila Bulletin","Subnational-National","0","On 1 June 2020, the NPA and the military engaged in a 30-minute firefight in Barangay Biyabid, Sison, Surigao del Norte. The military reported no casualties and said they retrieved a landmine from the rebels. The military also said that an undetermined number of NPA militants were believed wounded."
"2020-06-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","Cabanatuan","Cabanatuan","15.4858","120.9664","1","Punto; Philippine Daily Inquirer","Subnational-National","1","On 1 June 2020, a drug suspect was killed during a police raid in Barangay Kapitan Pepe, Cabanatuan, Nueva Ecija. Police said they retrieved several sachets of shabu (crystal meth) from the slain suspect."
"2020-06-01","Explosions/Remote violence","Grenade","NPA: New People's Army","","Police Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Police Forces of the","nan","Northern Mindanao","Bukidnon","Cabanglasan","Cabulohan","8.0243","125.2996","1","Mindanao Goldstar Daily; Abante; ABS CBN; Philippine Daily Inquirer; Sunstar (Philippines)","Subnational-National","0","On 1 June 2020, two police officers were wounded in a grenade attack by suspected NPA militants at a police checkpoint in Barangay Cabulohan, Cabanglasan, Bukidnon."
"2020-06-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Manila Bulletin","National","1","On 1 June 2020, a drug suspect was shot dead in a vigilante-style attack by unidentified assailants in Barangay 105, Tondo, Manila. Police said the slain suspect had text messages on his phone connecting him to the drug trade."
"2020-06-01","Protests","Peaceful protest","Protesters (Philippines)","PISTON: Pinagkaisang Samahan ng mga Tsuper at Operator Nationwide; Labour Group (Philippines)","","","Protesters (Philippi","PISTON: Pinagkaisang","nan","nan","Central Visayas","Cebu","Cebu City","Cebu City","10.3167","123.8907","2","Philippine Star","National","0","On 1 June 2020, about 50 jeepney drivers led by transport union PISTON staged a noise barrage across Metro Cebu, Cebu to demand that they be allowed to go back to work and ply their routes following the partial easing of COVID-19 (coronavirus) quarantine measures. The demonstration was part of a nationally-coordinated action by PISTON. [size=about 50]"
"2020-06-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","Cabanatuan","Cabanatuan","15.4858","120.9664","1","Punto","Subnational","1","On 1 June 2020, a drug suspect was killed during a police raid in Barangay Concepcion, Cabanatuan, Nueva Ecija. Police said the slain suspect was on their drug watchlist and that they recovered several sachets of shabu (crystal meth) from him during the operation."
"2020-06-01","Protests","Peaceful protest","Protesters (Philippines)","PISTON: Pinagkaisang Samahan ng mga Tsuper at Operator Nationwide; Labour Group (Philippines)","","","Protesters (Philippi","PISTON: Pinagkaisang","nan","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Manila Bulletin; Bulatlat","National","0","On 1 June 2020, jeepney drivers led by transport union PISTON staged a noise barrage and demonstration in Barangay Commonwealth, Quezon City to demand that they be allowed to go back to work and ply their routes following the partial easing of COVID-19 (coronavirus) quarantine measures. The demonstration was part of a nationally-coordinated action by PISTON. [size=no report]"
"2020-06-01","Strategic developments","Disrupted weapons use","Police Forces of the Philippines (2016-)","","NPA: New People's Army","","Police Forces of the","nan","NPA: New People's Ar","nan","Eastern Visayas","Northern Samar","Las Navas","Epaw","12.2641","125.0443","1","Philippine Daily Inquirer","National","0","On 1 June 2020, police caught three suspected NPA rebels in the act of planting improvised explosive devices (IEDs) in Barangay Epaw, Las Navas, Northern Samar. The rebels were arrested."
"2020-06-02","Protests","Protest with intervention","Protesters (Philippines)","PISTON: Pinagkaisang Samahan ng mga Tsuper at Operator Nationwide; Labour Group (Philippines)","Police Forces of the Philippines (2016-)","","Protesters (Philippi","PISTON: Pinagkaisang","Police Forces of the","nan","NCR","Metro Manila","Caloocan","Caloocan","14.6495","120.9678","1","Bulatlat; Philippine Daily Inquirer; Manila Bulletin","National","0","On 2 June 2020, six jeepney drivers belonging to transport union PISTON were arrested after they staged a noise barrage and demonstration along Epifanio de los Santos Avenue in Barangay 83, Caloocan to demand that they be allowed to go back to work and ply their routes following the partial easing of COVID-19 (coronavirus) quarantine measures. Police claimed that the demonstrators violated quarantine rules. The demonstration was part of a nationally-coordinated action by PISTON. [size=6]"
"2020-06-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Pulilan","Paltao","14.9102","120.8573","1","Philippine Star; Philippine Daily Inquirer; Punto","Subnational-National","2","On 2 June 2020, two drug suspects were killed during a police raid in Barangay Paltao, Pulilan, Bulacan. Police said that the two slain suspects were known members of a drug group and that sachets of shabu (crystal meth) were recovered from them during the operation."
