"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-07-01","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","nan","Military Forces of t","nan","BARMM","Maguindanao","Shariff Saydona Mustapha","Pamalian","6.934","124.4709","1","Philippine Star","National","2","The military had an encounter with BIFF rebels at Barangay Pamalian, Shariff Aguak town, Maguindanao province on July 1. Two BIFF militants were killed."
"2018-07-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Former Government of the Philippines (2016-)","Police Forces of the","nan","Civilians (Philippin","Former Government of","Soccsksargen","Sultan Kudarat","Lambayong","Lambayong","6.8167","124.6149","2","Philippine News Agency","National","2","Two drug suspects, including a former councilor, were killed during a police raid at Lambayong, Sultan Kudarat province on July 1."
"2018-07-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Quezon","Lucena","Lucena","13.9313","121.6172","2","Philippine Daily Inquirer","National","1","A drug suspect was shot and killed during a police raid at Barangay Dalahican, Lucena City, Quezon province on July 1. His companion escaped."
"2018-07-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Bicol Region","Masbate","Milagros","San Carlos","12.1837","123.6408","1","Philippine Daily Inquirer","National","1","A suspected NPA rebel was killed by soldiers from the 9th Infantry Battalion in Barangay San Carlos, Milagros town, Masbate province on July 1."
"2018-07-01","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-) Special Action Force","BIFF: Bangsamoro Isl","nan","Military Forces of t","Police Forces of the","BARMM","Maguindanao","Datu Saudi-Ampatuan","Elian","6.9641","124.4209","1","Philippine Star","National","2","Two BIFF rebels were killed in an encounter with the 21st Mechanized Infantry Company at Barangay Elian, Datu Saudi-Ampatuan town, Maguindanao province on July 1. Two soldiers were wounded."
"2018-07-02","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-) Special Action Force","BIFF: Bangsamoro Isl","nan","Military Forces of t","Police Forces of the","BARMM","Maguindanao","Shariff Saydona Mustapha","Pusao","6.942","124.4638","1","Philippine Star","National","1","A soldier was killed in an encounter with the BIFF rebels at Barangay Pusao, Shariff Saydona Mustapha town, Maguindanao province on July 2. Another soldier was wounded."
"2018-07-02","Strategic developments","Other","Civilians (Philippines)","Refugees/IDPs (Philippines)","","","Civilians (Philippin","Refugees/IDPs (Phili","nan","nan","BARMM","Maguindanao","Buluan","Buluan","6.7202","124.8019","2","Philippine Star","National","0","Displacement: Around 5,136 families were displaced by clashes between the BIFF and the military in Maguindanao province on July 2."
"2018-07-02","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-) Special Action Force","BIFF: Bangsamoro Isl","nan","Military Forces of t","Police Forces of the","BARMM","Maguindanao","Datu Paglas","Datu Paglas","6.7666","124.85","2","Philippine Star","National","2","Soldiers from the 33rd Infantry Battalion and the Special Action Force had an encounter with BIFF rebels at Datu Paglas town area, Maguindanao province on July 2. Two BIFF rebels were killed."
"2018-07-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-); Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Government of the Ph","Calabarzon","Batangas","Tanauan","Tanauan","14.0862","121.1497","1","Philippine Daily Inquirer; ABS CBN","National","1","A mayor was shot and killed by an unidentified assailant at Tanuan City, Batangas province on July 2. The President said that he was involved in the drug trade."
"2018-07-02","Violence against civilians","Attack","Armed Drug Suspects (Philippines)","","Civilians (Philippines)","","Armed Drug Suspects ","nan","Civilians (Philippin","nan","Calabarzon","Rizal","Antipolo","Antipolo","14.6257","121.1225","2","Philippine Star","National","1","A community leader was killed after confronting a drug suspect in Barangay Dela Paz, Antipolo City, Rizal province on July 2."
