"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2020-01-01","Battles","Armed clash","ASG: Abu Sayyaf","","Military Forces of the Philippines (2016-) Citizen Armed Force Geographical Unit","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Basilan","Tuburan","Duga-a","6.5956","122.2646","1","Sunstar (Philippines)","National","1","On 1 January 2020, one Citizen Armed Force Geographical Unit (CAFGU) paramilitary died while four others escaped unscathed during a firefight with suspected Abu Sayyaf militants in Barangay Duga-a, Tuburan, Basilan."
"2020-01-01","Protests","Peaceful protest","Protesters (Philippines)","PAGGAWA: Pagkakaisa ng Uring Manggagawa; Labour Group (Philippines)","","","Protesters (Philippi","PAGGAWA: Pagkakaisa ","nan","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","CNN","International","0","On 1 January 2020, labor group PAGGAWA staged a demonstration in Mendiola, Manila, in order to demand the rights and welfare of workers and to decry higher excise taxes on fuel. [size=no report]"
"2020-01-01","Violence against civilians","Attack","NPA: New People's Army","","Civilians (Philippines)","Higaonon Ethnic Group (Philippines)","NPA: New People's Ar","nan","Civilians (Philippin","Higaonon Ethnic Grou","Caraga","Agusan del Sur","Esperanza","Kinamaybay","8.6469","125.3532","1","Philippine News Agency; Manila Bulletin","National","1","On 1 January 2020, a leader of the Higaonon tribe was shot dead by suspected NPA militants in Barangay Kinamaybay, Esperanza, Agusan del Sur. The military said the incident was a violation of a ceasefire agreement between the government and Communist rebels supposed to be in effect between 23 December 2019 and 7 January 2020."
"2020-01-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Former Government of","Central Visayas","Negros Oriental","Dauin","Maayongtubig","9.1621","123.2393","1","Cebu Daily News","Subnational","1","On 1 January 2020, a former member of a community-based anti-crime Barangay Intelligence Network (BIN) was shot dead by unidentified assailants in Barangay Maayongtubig, Dauin, Negros Oriental. BIN monitors illegal drug transactions in the community."
"2020-01-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","San Jose del Monte","San Jose del Monte","14.8138","121.0452","1","Abante; Philippine Star","National","2","Two drug suspects were killed during a police raid at Barangay Assumption, San Jose del Monte, Bulacan on 3 January 2020."
"2020-01-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","San Leonardo","Tambo Adorable","15.3717","120.9274","1","Punto; Philippine Star","Subnational-National","1","A drug suspect was killed during a police raid in Barangay Tambo Adorable, San Leonardo, Nueva Ecija on 3 January 2020."
"2020-01-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Ilocos Region","Pangasinan","Calasiao","Ambonao","16.0266","120.3738","1","Philippine Daily Inquirer","National","1","On 3 January 2020, a municipal employee who was reportedly part of the mayor's security detail was shot dead by unidentified assailants on his way home in Barangay Ambonao, Calasiao, Pangasinan."
"2020-01-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","San Jose del Monte","San Jose del Monte","14.8138","121.0452","1","Philippine Daily Inquirer","National","2","Two drug suspects were killed during a police raid in Barangay Minuyan, San Jose del Monte, Bulacan on 4 January 2020."
"2020-01-04","Battles","Armed clash","Unidentified Armed Group (Philippines)","","Military Forces of the Philippines (2016-) Citizen Armed Force Geographical Unit","","Unidentified Armed G","nan","Military Forces of t","nan","BARMM","Basilan","Maluso","Fuente Maluso","6.5447","121.8871","1","Sunstar (Philippines)","National","1","On 4 January 2020, a Citizen Armed Force Geographical Unit (CAFGU) paramilitary was shot dead by unidentified assailants in Barangay Fuente Maluso, Maluso, Basilan."
"2020-01-04","Violence against civilians","Attack","Armed Drug Suspects (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Armed Drug Suspects ","nan","Civilians (Philippin","Drug Suspects (Phili","Soccsksargen","Cotabato","Matalam","Poblacion","7.0813","124.9351","1","Manila Bulletin; Philippine Daily Inquirer; Abante; ABS CBN","National","3","On 4 January 2020, a drug suspect was wounded, three of his relatives were killed, and yet another two were wounded in an attack by armed drug suspects at the victims' home in Barangay Poblacion, Matalam, Cotabato."
