"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-09-01","Violence against civilians","Attack","BIFF: Bangsamoro Islamic Freedom Fighters","","Civilians (Philippines)","Farmers (Philippines)","BIFF: Bangsamoro Isl","nan","Civilians (Philippin","Farmers (Philippines","BARMM","Maguindanao","Datu Hoffer Ampatuan","Limpongo","6.8755","124.4487","1","Mindanao Goldstar Daily","National","2","On 1 September 2018, alleged BIFF rebels shot and killed two farmers in Barangay Limpongo (Datu Hoffer Ampatuan, Maguindanao, Bangsamoro Autonomous Region in Muslim Mindanao)."
"2018-09-01","Strategic developments","Agreement","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Davao Region","Davao del Norte","New Corella","New Corella","7.5866","125.8237","2","Mindanao Times","Subnational","0","Agreement: 184 NPA supporters supposedly surrendered to the 71st Infantry Battalion at New Corella town, Davao del Norte province on September 1, 2018."
"2018-09-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Central Luzon","Aurora","Maria Aurora","Villa Aurora","15.6781","121.3361","1","Philippine Daily Inquirer","National","2","Two alleged members of the NPA were killed during an encounter with soldiers from the 91st Infantry Battalion in Barangay Villa Aurora, Maria Aurora town, Aurora province on September 2, 2018."
"2018-09-02","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","Soccsksargen","Sultan Kudarat","Isulan","Isulan","6.6294","124.605","2","Mindanao Goldstar Daily","Subnational","2","A bomb set off by unidentified assailants killed 2 civilians and wounded at least a dozen others in Isulan town, Sultan Kudarat province on September 2, 2018."
"2018-09-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","NCR","Metro Manila","Muntinlupa","Muntinlupa","14.4079","121.0411","1","Rappler; Sunstar (Philippines)","National","1","On 2 Sept 2018, in Barangay Poblacion, Muntinlupa City, Metro Manila, an Inspector of the Bureau of Corrections was shot dead by a motorcycle-riding assailant. Police are looking into the possibility of the controversial release of convicts under the GCTA law as motivation for the attack."
"2018-09-02","Battles","Armed clash","Unidentified Armed Group (Philippines)","","Police Forces of the Philippines (2016-) Prison Guards","","Unidentified Armed G","nan","Police Forces of the","nan","NCR","Metro Manila","Muntinlupa","Muntinlupa","14.4079","121.0411","1","Philippine Daily Inquirer","National","1","An officer of the New Bilibid Prison (NBP) was shot dead by an unidentified assailant at Muntinlupa City, Metro Manila on September 2, 2018."
"2018-09-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","San Jose del Monte","San Jose del Monte","14.8138","121.0452","1","Philippine Star","National","1","A drug suspect was shot and killed during a police raid at San Jose del Monte City, Bulacan province on September 4, 2018."
"2018-09-04","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Cagayan Valley","Cagayan","Tuguegarao","Tuguegarao","17.6157","121.7228","1","Philippine Star","National","1","A drug suspect was shot and killed in a vigilante-style attack by unidentified assailants at Tuguegarao City, Cagayan province on September 4, 2018."
"2018-09-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Baliuag","Baliuag","14.9547","120.8969","2","Philippine Star","National","1","A drug suspect was shot and killed during a police raid at Baliuag town, Bulacan province on September 4, 2018."
"2018-09-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Northern Mindanao","Misamis Oriental","Jasaan","Jasaan","8.6541","124.7555","1","Sunstar (Philippines)","National","1","A drug suspect was killed during a police raid at Jasaan town, Misamis Oriental province on September 4, 2018."
"2018-09-04","Battles","Armed clash","Unidentified Armed Group (Philippines)","","Police Forces of the Philippines (2016-)","","Unidentified Armed G","nan","Police Forces of the","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Star","National","1","A police officer was shot and killed by unidentified assailants at Manila, Mero Manila on September 4, 2018."
"2018-09-05","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Cagayan Valley","Cagayan","Penablanca","Penablanca","17.6334","121.7811","2","Philippine Star","National","1","A drug suspect was shot and killed during a police raid at Penablanca (Pentildeablanca) town, Cagayan province on September 5, 2018."
"2018-09-05","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines); Government of the Philippines (2016-)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Ronda","Ronda","9.999","123.4095","1","Philippine Daily Inquirer","National","1","A drug suspect and mayor was shot and killed in a vigilante-style attack by unidentified assailants at Ronda town, Cebu province on September 5, 2018. His nephew was gunned down in February 2018. He was the lawyer of a confessed drug lord."
"2018-09-06","Battles","Armed clash","Maute Group","","Military Forces of the Philippines (2016-)","","Maute Group","nan","Military Forces of t","nan","BARMM","Lanao del Sur","Sultan Dumalondong","Sultan Dumalondong","7.7179","124.2533","2","Mindanao Goldstar Daily","National","6","Three Maute rebels, two civilians, and a soldier were killed in an encounter between Maute rebels and army troopers in Barangay Sumalindao, Sultan Dumalondong town, Lanao del Sur province on September 6, 2018."
"2018-09-06","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Farmers (Philippines); KMP: Kilusang Magbubukid ng Pilipinas","Unidentified Armed G","nan","Civilians (Philippin","Farmers (Philippines","Davao Region","Davao de Oro","Mabini","Cabuyuan","7.3119","125.8991","1","Davao Today","Subnational","1","A farmer-activist and member of KMP was killed by an unidentified assailant at Barangay Cabuyuan, Mabini town, Davao de Oro province on September 6."
"2018-09-07","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Iloilo","Iloilo City","Iloilo City","10.6969","122.5644","1","Philippine News Agency","National","1","A drug suspect was shot and killed in a vigilante-style attack by unidentified assailants at Iloilo City, Iloilo province on September 7, 2018."
"2018-09-07","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Northern Mindanao","Misamis Oriental","El Salvador","El Salvador","8.5281","124.5176","1","Sunstar (Philippines)","National","1","A drug suspect was killed during a police raid at El Salvador town, Misamis Oriental province on September 7, 2018."
"2018-09-07","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","Military Forces of the Philippines (2016-) Citizen Armed Force Geographical Unit","BIFF: Bangsamoro Isl","nan","Military Forces of t","Military Forces of t","BARMM","Maguindanao","Datu Montawal","Tunggol","7.0501","124.763","1","Philippine Star","National","4","Three BIFF rebels and one civilian were killed during an encounter with soldiers of the 7th Infantry Battalion and CAFGU members at Barangay Tunggol, Datu Montawal town, Maguindanao province on September 7, 2018. Two civilians and five rebels were wounded."
"2018-09-07","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Pampanga","San Simon","San Simon","14.9996","120.7808","2","Sunstar (Philippines)","National","1","A drug suspect was killed during a police raid in San Simon town, Pampanga province on September 7, 2018."
"2018-09-09","Strategic developments","Disrupted weapons use","Police Forces of the Philippines (2016-)","Military Forces of the Philippines (2016-)","BIFF: Bangsamoro Islamic Freedom Fighters","","Police Forces of the","Military Forces of t","BIFF: Bangsamoro Isl","nan","BARMM","Maguindanao","Datu Odin Sinsuat","Datu Odin Sinsuat","7.1889","124.1839","2","Philippine Daily Inquirer","National","0","Defusal: Police officers and military soldiers defused a bomb planted by alleged BIFF rebels at Datu Odin Sinsuat town, Maguindanao province on September 9, 2018."
"2018-09-09","Violence against civilians","Attack","Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency","","Civilians (Philippines)","Drug Suspects (Philippines); Police Forces of the Philippines (2016-)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Soccsksargen","South Cotabato","Koronadal","Koronadal","6.502999999999999","124.8469","1","Philippine Daily Inquirer","National","1","A drug suspect and police officer was killed during a police raid in Koronadal City, South Cotabato province on September 9, 2018. Victim assumed to be off-duty and unarmed at time of attack."
"2018-09-10","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","Military Forces of the Philippines (2016-) Citizen Armed Force Geographical Unit","NPA: New People's Ar","nan","Military Forces of t","Military Forces of t","Western Visayas","Iloilo","Janiuay","Agcarope","11.0367","122.4124","1","Philippine Daily Inquirer","National","1","A CAFGU militiaman was killed during an encounter between suspected members of the NPA and soldiers of the 61st Infantry Battalion in Barangay Agcarope, Janiuay town, Iloilo province on September 10, 2018."
"2018-09-10","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Soccsksargen","Cotabato","Midsayap","Midsayap","7.1908","124.5302","2","Philippine News Agency","National","1","A drug suspect was killed during a police raid in Midsayap town, Cotabato province on September 10, 2018."
"2018-09-10","Strategic developments","Disrupted weapons use","Police Forces of the Philippines (2016-)","Military Forces of the Philippines (2016-)","Unidentified Armed Group (Philippines)","","Police Forces of the","Military Forces of t","Unidentified Armed G","nan","BARMM","Maguindanao","Cotabato City","Cotabato City","7.2236","124.2463","1","Philippine Star","National","0","Defusal: Police officers and military soldiers defused a bomb planted by unidentified assailants at Cotabato City, Maguindanao province on September 10, 2018."
"2018-09-11","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Tarlac","Gerona","Gerona","15.6065","120.5978","2","Sunstar (Philippines)","National","1","A drug suspect was killed during a police raid in Gerona town, Tarlac province on September 11, 2018."
"2018-09-11","Battles","Armed clash","Police Forces of the Philippines (2016-)","","Armed Drug Suspects (Philippines)","","Police Forces of the","nan","Armed Drug Suspects ","nan","NCR","Metro Manila","Pasig","Pasig","14.5869","121.0614","1","Philippine Star","National","1","A drug suspect was killed during a shooutout with the police in Pasig City, Metro Manila on September 11, 2018. One police officer was wounded."
"2018-09-11","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Binan","Binan","14.3426","121.0807","1","Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid in Binan City, Laguna province on September 11, 2018."
"2018-09-11","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines); Government of the Philippines (2016-)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Eastern Visayas","Leyte","Ormoc","Ormoc","11.0063","124.6075","1","Philippine Daily Inquirer","National","2","Two drug suspects, including a village chair, were killed during a police raid in Ormoc town, Leyte province on September 11, 2018."
"2018-09-11","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Bicol Region","Camarines Sur","Caramoan","Malabog","13.7665","123.8076","1","Philippine News Agency","National","2","Two members of the NPA were killed in an encounter with the military at Barangay Malabog, Caramoan town, Camarines Sur province on September 11, 2018."
"2018-09-11","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Mimaropa Region","Oriental Mindoro","Mansalay","Panaytayan","12.5427","121.3427","1","Philippine Daily Inquirer","National","0","A soldier was wounded during an encounter between members of the NPA and soldiers from the 2nd Infantry Division in Barangay Panytayan, Mansalay town, Oriental Mindoro province on September 11, 2018."
"2018-09-11","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines); Prisoners (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Negros Occidental","Enrique B. Magalona","Enrique B. Magalona","10.8775","122.9677","2","Philippine Star","National","1","A drug suspect arrested during a buy-bust operation died while in police custody in Enrique B. Magalona town, Negros Occidental province on September 11, 2018. Police said he supposedly killed himself, but this could not be confirmed."
"2018-09-11","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Rizal","Antipolo","Antipolo","14.6257","121.1225","1","Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid in Antipolo City, Rizal province on September 11, 2018."
"2018-09-12","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Northern Mindanao","Bukidnon","Maramag","Maramag","7.7633","125.0052","2","Sunstar (Philippines)","National","1","A village captain was killed by unidentified assailants at Maramag town, Bukidnon province on September 12, 2018."
