"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2017-07-01","Battles","Armed clash","Maute Group","","Military Forces of the Philippines (2016-)","","Maute Group","nan","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","AP; Davao Today","National-International","10","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on July 1 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. According to government sources, as of July 2 the ongoing military operations left at least 459 people dead - 336 militants, 84 government security forces and 39 civilians. (21 fatalities have been divided for the days of July 1 and July 2.)"
"2017-07-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Tarlac","Tarlac City","Tarlac City","15.4801","120.5979","1","Foundation for Media Alternatives; Philippine Star","Local partner-National","1","A drug suspect was killed in a police raid in Barangay Tibag, Tarlac City on July 1."
"2017-07-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Davao Region","Davao de Oro","Monkayo","Salvacion","7.8237","126.0836","1","Davao Today","Subnational","7","New People's Army (NPA) ambushed an army unit of the 25th Infantry Battalion at in Sitio Quarry Benguet, Barangay Salvacion area, Monkayo, Davao de Oro province on July 1, killing 7 soldiers."
"2017-07-01","Violence against civilians","Attack","NPA: New People's Army","","Civilians (Philippines)","","NPA: New People's Ar","nan","Civilians (Philippin","nan","Western Visayas","Negros Occidental","Bago","Bago","10.5022","122.9628","2","Manila Times","National","0","An undetermined number of New People's Army (NPA) rebels raided the farm of Biboy Gayagas, village captain of Barangay Bacong, Bago City area and severely injured the victim on July 1."
"2017-07-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","ABS CBN; Foundation for Media Alternatives; Philippine Star","Local partner-National","1","A drug suspect was killed in a vigilante-style attack by an unidentified gunman at Quezon City, Metro Manila on 01 Jul 2017."
"2017-07-01","Strategic developments","Looting/property destruction","NPA: New People's Army","","Civilians (Philippines)","Labour Group (Philippines)","NPA: New People's Ar","nan","Civilians (Philippin","Labour Group (Philip","Calabarzon","Quezon","Gumaca","Gumaca","13.921","122.1002","2","Philippine Daily Inquirer","National","0","Property destruction: New People's Army (NPA) burnt equipment owned by government contractors in Gumaca area, Quezon province (assumed in June or July - July first coded as event date with time precision 3)."
"2017-07-01","Violence against civilians","Attack","Military Forces of the Philippines (2016-)","","Civilians (Philippines)","Farmers (Philippines)","Military Forces of t","nan","Civilians (Philippin","Farmers (Philippines","Bicol Region","Camarines Norte","Daet","Daet","14.1122","122.9553","2","ProtectDefenders.eu; Front Line Defenders; Bulatlat","Local partner-Other","1","A farmer activist and Municipal Coordinator of the Camarines Norte People Organization (CNPO) was shot dead in Camarines Norte province on 1 Jul 2017. Karapatan claims it to be a case of extrajudicial killings by suspected state agents (assumed military; coded the capital of Camarines Norte province as location with GP 2)."
"2017-07-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Caloocan","Caloocan","14.6495","120.9678","1","Foundation for Media Alternatives; Philippine Star","Local partner-National","3","Three drug suspects were killed during a police raid at Caloocan, Metro Manila on 01 Jul 2017."
"2017-07-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Foundation for Media Alternatives; Philippine Star","Local partner-National","1","A drug suspect was killed in a police raid in the Santa Ana area of Manila on July 1."
"2017-07-02","Protests","Peaceful protest","Protesters (Philippines)","","","","Protesters (Philippi","nan","nan","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Rappler","National","0","Hundreds of social activists took out a 'March for Life' in Manila on July 2 against the Duterte administration's war on drugs and extrajudicial killings."
"2017-07-02","Battles","Armed clash","Maute Group","","Military Forces of the Philippines (2016-)","","Maute Group","nan","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Davao Today; AP","National-International","11","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on July 2 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. According to government sources, as of July 2 the ongoing military operations left at least 459 people dead - 336 militants, 84 government security forces and 39 civilians. (21 fatalities have been divided for the days of July 1 and July 2.)"
"2017-07-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","San Pablo","San Pablo","14.0683","121.3256","1","Philippine Star","National","1","A drug suspect was killed by suspected vigilantes in Barangay San Antonio, San Pedro City in Laguna on July 2."
"2017-07-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Caloocan","Caloocan","14.6495","120.9678","1","Foundation for Media Alternatives; Interaksyon","Local partner-National","2","Two drug suspects were killed during a police raid at Caloocan, Metro Manila on 03 Jul 2017."
"2017-07-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Calamba","Calamba","14.2117","121.1653","1","Philippine Star","National","1","A drug suspect was killed in a police raid in Barangay Lecheria, Calamba town in Laguna on July 3."
"2017-07-03","Battles","Armed clash","Police Forces of the Philippines (2016-)","","Armed Drug Suspects (Philippines)","","Police Forces of the","nan","Armed Drug Suspects ","nan","Cagayan Valley","Cagayan","Alcala","Maraburab","17.947","121.6446","1","Philippine Star","National","0","2 cops were wounded in a police raid against a drug suspect when he hit their motorcycle with his car while trying to escape in Barangay Maraburab, Alcala town in Cagayan on July 3."
"2017-07-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Ilocos Region","Ilocos Norte","Burgos","Burgos","18.5121","120.6445","2","Philippine Star","National","1","A drug suspect was killed in a police raid in Barangay Langagan, Burgos town in Ilocos Norte on July 3."
"2017-07-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Lapu-Lapu","Lapu-Lapu","10.2841","123.9945","1","Sunstar (Philippines); Foundation for Media Alternatives","Local partner-National","1","A drug suspect was killed during a police raid at Lapu-Lapu, Cebu on 03 Jul 2017."
"2017-07-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","CAR","Abra","Boliney","Kilong-olao","17.3675","120.8592","1","Philippine Daily Inquirer","National","0","Soldiers of the 24th Infantry Battalion engaged 30 New People's Army (NPA) rebels during patrols along Sitio (sub-village) Tinalban, Kilong-olao village, Boliney town area in Abra province at 3 pm on July 3. A female rebel was captured."
