Province,Capital,Population,Area,Density,Founded,Island_group,Region,Mun_LGUs,City_LGUs,Brgy_LGUs
Sorsogon,Sorsogon City,792949,2119.01,370,17 Oct 1894,Luzon,V,14,1,541
South Cotabato,Koronadal,1509735,4428.81,340,18 Jun 1966,Mindanao,XII,10,2,225
Southern Leyte,Maasin,421750,1798.61,230,22 May 1959,Visayas,VIII,18,1,500
Sultan Kudarat,Isulan,812095,5298.34,150,22 Nov 1973,Mindanao,XII,11,1,249
Sulu,Jolo,824731,1600.4,520,10 Mar 1917,Mindanao,BARMM,19,—,410
Surigao del Norte,Surigao City,485088,1972.93,250,15 May 1901,Mindanao,XIII,20,1,335
Surigao del Sur,Tandag,592250,4932.7,120,16 Jun 1960,Mindanao,XIII,17,2,309
Tarlac,Tarlac City,1366027,3053.6,450,28 Mar 1873,Luzon,III,17,1,511
Tawi-Tawi,Bongao,390715,1087.4,360,11 Sep 1973,Mindanao,BARMM,11,—,203
Zambales,Iba,823888,3830.83,220,1578,Luzon,III,13,1,247
Zamboanga del Norte,Dipolog,1011393,7301,140,6 Jun 1952,Mindanao,IX,25,2,691
Zamboanga del Sur,Pagadian,1872473,5914.16,320,1 Sep 1914,Mindanao,IX,26,2,779
Zamboanga Sibugay,Ipil,633129,3607.75,180,22 Feb 2001,Mindanao,IX,16,—,389
Metro Manila,Manila †,12877253,638.55,20000,—,Luzon,NCR,1,16,1706
