"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2017-06-01","Battles","Armed clash","Maute Group","","Military Forces of the Philippines (2016-)","","Maute Group","nan","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Thai News Service","Regional","35","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on June 1 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. According to government sources, as of 6 pm of June 1 the ongoing military operations left at least 175 people dead - 120 militants, 36 government security forces and 19 civilians. (35 fatalities have been recorded for June 1 but it is unclear when they occurred.)"
"2017-06-01","Strategic developments","Other","Military Forces of the Philippines (2016-)","Alamara","Civilians (Philippines)","Teachers (Philippines)","Military Forces of t","Alamara","Civilians (Philippin","Teachers (Philippine","Davao Region","Davao del Norte","Talaingod","Talaingod","7.6167","125.6167","2","Davao Today","Subnational","0","Non-violent activity: A member of the paramilitary group Alamara forcefully entered the Salugpongan Ta Tanu Igkanogon Community Learning Centre in Sitio Nasilaban, Talaingod area, Davao del Norte on June 1 and harassed the teacher-in charge, suspecting him to be a rebel sympathizer."
"2017-06-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Cagayan Valley","Isabela","Quezon","Samonte","17.3099","121.6018","1","Foundation for Media Alternatives; Philippine Star","Local partner-National","1","A drug suspect was shot dead by motorcycle-riding men at Samonte town, Isabela at around 8 am on June 1."
"2017-06-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Baliuag","Tarcan","14.9308","120.8865","1","Philippine Star; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was killed in a raid (assumed police) in Barangay Tarcan, Baliwag town in Bulacan on June 1."
"2017-06-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Toledo","Toledo","10.3587","123.6961","1","Freeman (Philippines); Foundation for Media Alternatives","Local partner-National","1","A drug suspect who is connected to a high-value target was killed during a police raid at Toledo, Cebu on 01 Jun 2017."
"2017-06-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Meycauayan","Meycauayan","14.7369","120.9608","1","Philippine Star; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was killed in a raid (assumed police) in Barangay Bayugo, Meycauayan city in Bulacan on June 2."
"2017-06-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","Zamboanga Peninsula","Zamboanga del Norte","Siocon","Dionisio Riconalla","7.7","122.1975","1","Philippine Daily Inquirer","National","1","About 20 armed men wearing Army uniform, who had stormed the detachment of the 42nd Infantry Battalion in Sirawai, Zamboanga del Norte town on May 30, took 3 civilian hostages from Barangay Riconalla in Siocon town area on June 2 as they continued to withdraw amid a military pursuit operation. One of the hostages was shot dead shortly after being taken. The two other hostages had been successfully rescued by government forces also on June 2. The armed men were led by a certain Jamilun Wahab but it was the group's affiliation was unclear."
"2017-06-02","Battles","Armed clash","Maute Group","ASG: Abu Sayyaf","Military Forces of the Philippines (2016-)","","Maute Group","ASG: Abu Sayyaf","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Rappler; AFP","National-International","0","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on June 2 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. The Philippine military on Friday, admitted losing two armored vehicles to local armed groups in Marawi City. (No new fatalities have been reported for June 2.)"
"2017-06-02","Protests","Peaceful protest","Protesters (Philippines)","Bagong Alyansang Makabayan (Bayan)","","","Protesters (Philippi","Bagong Alyansang Mak","nan","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Bulatlat","National","0","Various groups, led by Bagong Alyansang Makabayan (Bayan), held a Black Friday protest on June 2 in Quezon City, Manila against the declaration of martial law in Mindanao, the attack at the Resorts World Manila casino in Pasay City and US President Donald Trump for falsely calling the casino attack a 'terrorist attack'. They also called for the resumption of the peace talks between government and the National Democratic Front of the Philippines (NDFP)."
"2017-06-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","Ilocos Region","Ilocos Norte","Marcos","Mabuti","18.0699","120.6774","1","Philippine Daily Inquirer","National","2","A Marcos town Mayor and a municipal employee were shot dead by an unidentified assailant after inspecting a small impounding project in the municipality's Mabuti village in the morning of Saturday. (The motive of the attack and the identity of the killers is unclear.)"
