"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines); KMU: Kilusang Mayo Uno","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Western Visayas","Negros Occidental","Bacolod","Bacolod","10.6666","122.95","1","Rappler","National","0","Labor groups including KMU held a Labor Day protest in Bacolod City, Negros Occidental province on May 1, 2019. They demanded an increase in the national minimum wage and the repeal of the recently passed tax reform law. [size=more than one thousand]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines); KMU: Kilusang Mayo Uno","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Western Visayas","Iloilo","Iloilo City","Iloilo City","10.6969","122.5644","1","Philippine Daily Inquirer","National","0","Labor groups like KMU held a Labor Day rally at Iloilo City, Iloilo province on May 1, 2019. They called for a higher minimum wage and criticized the government's tax reform law. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Central Visayas","Cebu","Cebu City","Cebu City","10.3167","123.8907","1","Philippine Daily Inquirer","National","0","Labor groups held a Labor Day rally at Cebu City, Cebu province on May 1, 2019. They called for better working conditions and criticized the government's War on Drugs. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Bicol Region","Masbate","Masbate City","Masbate City","12.3716","123.6249","1","Philippine Daily Inquirer","National","0","Labor groups held a Labor Day rally at Masbate City, Masbate province on May 1, 2019. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines); KMU: Kilusang Mayo Uno; CPA: Cordillera Peoples Alliance","","","Protesters (Philippi","Labour Group (Philip","nan","nan","CAR","Benguet","Baguio","Baguio","16.4164","120.5931","1","Sunstar (Philippines); Philippine Daily Inquirer","National","0","Labour groups like KMU and affiliated organizations like CPA held a Labor Day protest in Baguio City, Benguet province on May 1, 2019. They called for a higher minimum wage. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines); KMU: Kilusang Mayo Uno; Nagkaisa!","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Davao Region","Davao del Sur","Davao City","Davao City","7.0731","125.6128","1","Sunstar (Philippines)","National","0","Labor groups led by KMU and Nagkaisa held a Labor Day protest at Davao City, Daval del Sur province on May 1, 2019. They demanded an increase in the minimum wage and the passage of the security of tenure bill. [size=no report]"
"2019-05-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Star","National","1","The sister of a village chairman was killed by unidentified assailants at Binondo District, Manila, Metro Manila on May 1, 2019."
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Bicol Region","Albay","Daraga","Daraga","13.1483","123.7124","2","Philippine Daily Inquirer","National","0","Labor groups held a Labor Day rally at Daraga town, Albay province on May 1, 2019. [size=no report]"
"2019-05-01","Battles","Armed clash","NPA: New People's Army","","Police Forces of the Philippines (2016-) Regional Mobile Force Batallion","Military Forces of the Philippines (2016-)","NPA: New People's Ar","nan","Police Forces of the","Military Forces of t","Calabarzon","Quezon","General Nakar","Canaway","14.9969","121.4389","1","Philippine News Agency","National","0","Police officers from the Regional Mobile Force Battalion (RMFB) 4-A and soldiers from the 80th Infantry Brigade attacked NPA rebels at Barangay Canaway, General Nakar town, Quezon province on May 1, 2019. An indeterminate number of rebels were wounded."
"2019-05-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","BARMM","Maguindanao","Cotabato City","Cotabato City","7.2236","124.2463","1","Front Line Defenders; Philippine Star","Local partner-Other","2","A former TV reporter and official of the Bangsamoro Commission on Human Rights and his driver were killed by unidentified armed assailants along Barangay Rosario Heights 4, Cotabato City, Maguindanao province on 1 May 2019."
"2019-05-01","Protests","Protest with intervention","Protesters (Philippines)","Labour Group (Philippines); Sentro ng mga Nagkakaisa at Progresibong Manggagawa","Unidentified Armed Group (Philippines)","","Protesters (Philippi","Labour Group (Philip","Unidentified Armed G","nan","Davao Region","Davao del Sur","Davao City","Davao City","7.0731","125.6128","1","Mindanao Times","Subnational","0","A labor union associated with SENTRO had their Labor Day picket demonstration broken up by unidentified assailants carrying weapons at Davao City, Davao del Sur province on May 1, 2019. The protesters were protesting against Holcim Cement's decision to fire 141 workers. No one was wounded when the unidentified assailants broke the picket and confiscated the protest materials. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Bicol Region","Camarines Norte","Daet","Daet","14.1122","122.9553","2","Philippine Daily Inquirer","National","0","Labor groups held a Labor Day rally at Daet town, Camarines Norte province on May 1, 2019. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Bicol Region","Camarines Sur","Naga","Naga","13.6191","123.1813","1","Philippine Daily Inquirer","National","0","Labor groups held a Labor Day rally at Naga City, Camarines Sur province on May 1, 2019. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Bicol Region","Sorsogon","Sorsogon City","Sorsogon City","12.9738","123.9933","1","Philippine Daily Inquirer","National","0","Labor groups held a Labor Day rally at Sorsogon City, Sorsogon province on May 1, 2019. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Bicol Region","Catanduanes","Virac","Virac","13.5848","124.2374","2","Philippine Daily Inquirer","National","0","Labor groups held a Labor Day rally at Virac town, Catanduanes province on May 1, 2019. [size=no report]"
"2019-05-01","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines); KMU: Kilusang Mayo Uno; BMP: Bukluran ng Manggagawang Pilipino; Sentro ng mga Nagkakaisa at Progresibong Manggagawa; ALU: Associated Labor Unions; FFW: Federation of Free Workers","","","Protesters (Philippi","Labour Group (Philip","nan","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Rappler; Philippine Daily Inquirer","National","0","Labor groups like BPM, KMU, FFW, Sentro, and ALU held a joint Labor Day march in Mendiola, Manila, Metro Manila on May 1, 2019. They demanded better working conditions from the government. [size=8,000-30,000]"
"2019-05-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Zamboanga Peninsula","Zamboanga Sibugay","Mabuhay","Sioton","7.3674","122.8929","1","Sunstar (Philippines)","National","1","A councilor of the Youth Council was killed by unidentified assailants at Barangay Sioton, Mabuhay town, Zamboanga Sibugay province on May 1, 2019."
"2019-05-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","NPC: Nationalist People's Coalition","Unidentified Armed G","nan","Civilians (Philippin","NPC: Nationalist Peo","CAR","Abra","Pilar","Pilar","17.35","120.5666","2","Philippine Star","National","1","A campaign leader of a Nationalist People's Coalition mayoral candidate was killed by unidentified assailants in Pilar town area, Abra province at around May 2, 2019."
"2019-05-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines); Women (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Talisay","Talisay","10.2447","123.8494","1","Sunstar (Philippines)","National","2","Two women, one whom was related to drug suspects, were killed in a vigilante-style attack by unidentified assailants at Barangay Tabunok, Talisay City, Cebu province on May 2, 2019. One of their companions was wounded."
"2019-05-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Philippine Star","National","1","A drug suspect who also illegally sold guns was killed in a police raid at Barangay San Agustin, Quezon City, Metro Manila on May 2, 2019."
"2019-05-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Quezon","Lucena","Lucena","13.9313","121.6172","1","Philippine Star","National","1","A drug suspect was killed in a police raid at in Barangay Ibabang Talim, Lucena City, Quezon province at around May 2, 2019."
"2019-05-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Negros Occidental","Sagay City","Sagay City","10.9447","123.4241","1","Philippine Star","National","1","A drug suspect was killed in a vigilante-style attack by unidentified assailants at Barangay Paraiso, Sagay City, Negros Occidental province on May 2, 2019."
"2019-05-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","San Pablo","San Pablo","14.0683","121.3256","1","Philippine Star","National","1","A drug suspect was killed in a police raid at in Barangay San Pedro, San Pablo town, Laguna province at around May 2, 2019."
"2019-05-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Northern Mindanao","Bukidnon","Baungon","Baungon","8.2166","124.7","2","Mindanao Goldstar Daily","Subnational","1","A drug suspect was killed in a police raid at Baungon town, Bukidnon province on May 2, 2019."
"2019-05-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines); Government of the Philippines (2016-)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Batangas","Batangas City","Batangas City","13.7567","121.0584","2","Philippine Star","National","1","A town councilor suspected of drug dealing was killed in a vigilante-style attack by unidentified assailants at Barangay Sorosoro Karsada, Batangas City, Batangas province on around May 2, 2019."
"2019-05-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Malolos","Malolos","14.8443","120.8104","3","Manila Bulletin","National","1","A drug suspect was killed in a police raid at Bulacan province area at around May 3, 2019."
"2019-05-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Pandi","Malibong Matanda","14.8516","120.9487","1","Philippine Star","National","1","A drug suspect was killed in a police raid at Barangay Malibong Matanda, Pandi town, Bulacan province on May 3, 2019."
"2019-05-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","Ilocos Region","La Union","Balaoan","Nagsabaran Norte","16.8099","120.3956","1","Rappler","National","0","A candidate for town councilor and four of his companions were wounded in an attack by unidentified assailants at Barangay Nagsabaran Norte, Balaoan town, La Union province on May 3, 2019."
"2019-05-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines); Police Forces of the Philippines (2016-)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Lapu-Lapu","Lapu-Lapu","10.2841","123.9945","1","Sunstar (Philippines)","National","1","A police officer who was rumored to have been part of the drug trade was killed in a vigilante-style attack by unidentified assailants at Barangay Babag, Lapu-Lapu City, Cebu province on May 3, 2019."
