"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2019-08-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Eastern Visayas","Northern Samar","Bobon","San Isidro","12.5124","124.5425","1","Philippine Daily Inquirer","National","1","A village chair was killed by unidentified assailants at Barangay San Isidro, Bobon town, Northern Samar province on August 1, 2019."
"2019-08-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Fishermen (Philippines)","Unidentified Armed G","nan","Civilians (Philippin","Fishermen (Philippin","Central Visayas","Bohol","Loon","Moto Sur","9.7942","123.7917","1","Bohol Chronicle","Subnational","1","On 1 Aug 2019, in Loon town, Bohol, unidentified assailants shot dead a fisherman facing charges of frustrated homicide along a national highway in Barangay Moto Sur."
"2019-08-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Northern Mindanao","Bukidnon","Impasugong","Bulonay","8.3819","125.2185","1","Mindanao Goldstar Daily","Subnational","0","On 1 Aug 2019, in Barangay Bolonay, Impasugong town, Bukidnon, a firefight occurred between the army and the NPA's North Central Mindanao Regional Committee. Following the incident, troops recovered the NPA camp and unexploded anti-personnel mines, among other items."
"2019-08-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Star","National","1","A village councilor was killed, while another was wounded, by unidentified assailants at Manila, Metro Manila on August 1, 2019."
"2019-08-01","Protests","Peaceful protest","Protesters (Philippines)","","","","Protesters (Philippi","nan","nan","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Bulatlat","National","0","On 1 Aug 2019, in Quezon City, Metro Manila, human rights groups staged a protest at the Hall of Justice condemning the perjury cases filed against members of Karapatan, Rural Missionaries of the Philippines and Gabriela. [size=no report]"
"2019-08-01","Battles","Armed clash","Unidentified Armed Group (Philippines)","","Police Forces of the Philippines (2016-) Prison Guards","","Unidentified Armed G","nan","Police Forces of the","nan","NCR","Metro Manila","Paranaque","Paranaque","14.479000000000001","121.0208","1","Manila Bulletin","National","1","A prison officer was killed by unidentified assailants at Barangay Don Bosco, Paranaque City, Metro Manila on August 1, 2019."
"2019-08-01","Battles","Armed clash","Police Forces of the Philippines (2016-) Special Action Force","","MNLF: Moro National Liberation Front","Former ASG: Abu Sayyaf","Police Forces of the","nan","MNLF: Moro National ","Former ASG: Abu Sayy","BARMM","Basilan","Hadji Mohammad Ajul","Candiis","6.5965","122.2778","1","GMA News; Philippine Star","National","3","A member of the MNLF and two former Abu Sayyaf rebels were killed in an attack by Special Action Force and the National Bureau of Investigation (NBI) at Barangay Candiis, Hadji Mohammad Ajul town, Basilan province on August 1, 2019. They were believed to be involved in criminal activities. The army, however, revealed that the fatalities were two military assets and an MNLF leader. An inquiry on the matter has been opened."
"2019-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Quezon","Lucena","Lucena","13.9313","121.6172","1","Philippine Daily Inquirer","National","1","A drug suspect was killed in a police raid at Barangay Dalahican, Lucena City, Quezon province on August 1, 2019."
"2019-08-02","Strategic developments","Agreement","NPA: New People's Army","Unidentified Armed Group (Philippines)","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","Unidentified Armed G","Military Forces of t","nan","BARMM","Lanao del Sur","Lumba-Bayabao","Sabala Bantayao","7.7296","124.4574","1","Rappler","National","0","On 2 Aug 2019, in Barangay Sabala Bantayao, Lumba-Bayabao (Maguing) town, Lanao del Sur, four 'Local Terrorist Group' (LTG) members and 21 NPA supporters surrendered to the military. They also surrendered their weapons. LTG is the government's designation for armed groups, including Maute and Abu Sayyaf, Bangsamoro Islamic Freedom Fighters (BIFF) and other organizations. However, the specific groups involved in this particular event were not specified."
"2019-08-02","Explosions/Remote violence","Remote explosive/landmine/IED","NPA: New People's Army","","Military Forces of the Philippines (2016-) Citizen Armed Force Geographical Unit","","NPA: New People's Ar","nan","Military Forces of t","nan","Soccsksargen","Cotabato","Magpet","Bantac","7.127000000000001","125.1278","1","Thai News Service","Regional","0","On 2 Aug 2019, in Magpet, North Cotabato, a bomb by suspected NPA members exploded at a CAFGU patrol base in Purok 3, Barangay Bantac. No one was injured in the explosion."
