"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2019-11-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines); Former Government of the Philippines (2016-)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Caraga","Surigao del Norte","Del Carmen","Del Carmen","9.8694","125.9697","2","Philippine Daily Inquirer; Philippine Star; Mindanao Goldstar Daily","Subnational-National","1","A drug suspect was shot dead in a vigilante-style attack by unidentified armed assailants in Barangay Poblacion, Del Carmen, Surigao del Norte on 1 November 2019. The victim was a former judge of a municipal trial court and had earlier figured in a list of 'narco-politicians' and other supposed protectors of the drug trade released by President Rodrigo Duterte to the public in 2016."
"2019-11-02","Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","KARAPATAN: Alliance for the Advancement of People's Rights","Unidentified Armed G","nan","Civilians (Philippin","KARAPATAN: Alliance ","Davao Region","Davao del Norte","Panabo","Panabo","7.3081","125.6841","1","ProtectDefenders.eu; Front Line Defenders; Davao Today","Local partner-Other","0","A human rights worker who was previously secretary-general of KARAPATAN was reported missing since 2 November 2019, the day she was last seen after leaving her house in Panabo, Davao del Norte. According to KARAPATAN, the missing worker had previously complained of military harassment and surveillance."
"2019-11-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","Santa Rosa","Soledad","15.4117","121.0013","1","Philippine Daily Inquirer","National","1","A drug suspect was shot dead in a vigilante-style attack by unidentified armed assailants in Barangay Soledad, Santa Rosa, Nueva Ecija on 2 November 2019."
"2019-11-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Caraga","Agusan del Norte","Santiago","San Isidro","9.2295","125.656","1","ABS CBN","National","1","On 2 November 2019, a suspected NPA militant was killed and another was wounded and then captured in a firefight with the military in Barangay San Isidro, Santiago, Agusan del Norte. The military reported retrieving weapons and other items after the clash."
"2019-11-03","Battles","Armed clash","Armed Drug Suspects (Philippines)","Private Security Forces (Philippines)","Police Forces of the Philippines (2016-)","","Armed Drug Suspects ","Private Security For","Police Forces of the","nan","Central Luzon","Pampanga","Angeles","Angeles","15.15","120.5833","1","Philippine Daily Inquirer; ABS CBN","National","2","Two drug suspects who were also private security officers were killed during a shootout with the police in Barangay Mining, Angeles, Pampanga on 3 November 2019. No police officers were wounded during the shootout."
"2019-11-03","Battles","Armed clash","Armed Drug Suspects (Philippines)","Private Security Forces (Philippines)","Private Security Forces (Philippines)","","Armed Drug Suspects ","Private Security For","Private Security For","nan","Central Luzon","Pampanga","Angeles","Angeles","15.15","120.5833","1","Philippine Daily Inquirer; ABS CBN","National","1","On 3 November 2019, a private security officer of a store was shot dead while another employee was wounded in an attack at the store in Barangay Cutcut, Angeles City, Pampanga, carried out by other private security officers who the police later identified as drug suspects. It was not clear if the three private security officers - assailants and fatality - were all part of the same private security firm or had the same assignments."
"2019-11-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Eastern Visayas","Samar","Hinabangan","Lim-ao","11.739","125.1168","1","Philippine News Agency","National","0","On 3 November 2019, government forces and suspected NPA militants exchanged gunfire in a 10-minute firefight in Barangay Lim-ao, Hinabangan, Samar. The military reported no casualties on their side and an undetermined number on the rebel side. The military also reported retrieving weapons."
"2019-11-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Ilocos Region","Pangasinan","Rosales","Rosales","15.8877","120.6234","2","Philippine News Agency","National","0","On 3 November 2019, government forces and suspected NPA militants exchanged gunfire in a 5-minute firefight in Rosario, Agusan del Sur. The military reported no casualties on their side and an undetermined number on the rebel side. The military also reported retrieving weapons."
"2019-11-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Calabarzon","Quezon","Mauban","Cagsiay II","14.2591","121.6867","1","Philippine Daily Inquirer","National","0","On 3 November 2019, NPA militants and government forces engaged in a 15-minute firefight in Barangay Cagsiay 2, Mauban, Quezon. The military reported arresting an NPA militant as well as retrieving weapons and other items during the follow-up operations."
"2019-11-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Eastern Visayas","Samar","Calbiga","Antol","11.574000000000002","125.0526","1","Sunstar (Philippines)","National","0","On 3 November 2019, government forces and about 10 suspected NPA militants engaged in a 40-minute firefight in Barangay Antol, Calbiga, Samar. The military reported two wounded on the government side and an undetermined number on the rebel side."
