"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-12-01","Battles","Armed clash","MNLF: Moro National Liberation Front","","Unidentified Armed Group (Philippines)","","MNLF: Moro National ","nan","Unidentified Armed G","nan","Soccsksargen","Cotabato","Matalam","Kibudoc","7.1115","124.9632","1","Philippine Daily Inquirer","National","2","Two farmers, members of the MNLF, were killed during an attack by assailants from Matalam town at Barangay Kibudoc, Matalam town, Cotabato province on December 1, 2018. Three other members of the MNLF were wounded while two others are missing. It is suspected that the conflict was triggered by a land dispute."
"2018-12-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","CAR","Abra","Tubo","Tabacda","17.1921","120.8005","1","Northern Dispatch (Philippines)","Subnational","2","On 1 December 2018, two government troops were shot dead in a clash with NPA militants in Barangay Tabacda, Tubo, Abra, according to the NPA."
"2018-12-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Bicol Region","Camarines Sur","Naga","Naga","13.6191","123.1813","1","Philippine News Agency","National","1","A drug suspect was killed during a police raid at Barangay del Rosario, Naga City, Camarines Sur province on December 1, 2018."
"2018-12-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Former Government of","Ilocos Region","La Union","Bacnotan","Cabugao","16.7535","120.3684","1","Manila Bulletin","National","1","A former village captain was shot and killed by unidentified assailants at Barangay Cabugao, Bacnotan town, La Union province on December 3, 2018."
"2018-12-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Zamboanga Peninsula","Zamboanga Sibugay","Mabuhay","Mabuhay","7.4177","122.8366","2","Manila Times","National","1","A village chairman was killed by unidentified assailants at Barangay Mabuhay, Molave town, Zamboanga del Sur province on December 3, 2018."
"2018-12-04","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","nan","Military Forces of t","nan","BARMM","Maguindanao","Ampatuan","Salman","6.8345","124.4586","1","Philippine News Agency","National","0","Soldiers from the 2nd Mechanized Infantry Battalion used howitzers and gunfire to attack suspected BIFF rebels who responded with sniper fire at Barangay Salman, Ampatuan town, Maguindanao province on December 4, 2018."
"2018-12-04","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Zamboanga Peninsula","Zamboanga del Sur","Ramon Magsaysay","Bobongan","7.9937","123.4642","1","Manila Bulletin","National","1","A town councilor was killed by unidentified assailants at Barangay Bobongan, Ramon Magsaysay town, Zamboanga del Sur province on December 4, 2018."
"2018-12-04","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Calabarzon","Quezon","Sampaloc","San Bueno","14.1814","121.6587","1","Manila Bulletin","National","0","Three soldiers were wounded while overrunning an NPA encampment at Barangay San Bueno, Sampaloc town, Quezon province on December 4, 2018."
"2018-12-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Pasay","Pasay","14.5374","121.0014","1","Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid at Barangay 67, Pasay City, Metro Manila on December 4, 2018."
"2018-12-04","Protests","Peaceful protest","Protesters (Philippines)","Lumad Ethnic Group (Philippines); Moro Muslim Group (Philippines); Farmers (Philippines); Labour Group (Philippines)","","","Protesters (Philippi","Lumad Ethnic Group (","nan","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Mindanao Goldstar Daily","National","0","Lumad, Moro, human rights activists, workers, and farmers from Mindanao held a demonstration at the headquarters of the military at Quezon City, Metro Manila on December 4, 2018. They were calling for, among other things, the end of martial law in Mindanao."
"2018-12-05","Battles","Armed clash","Unidentified Armed Group (Philippines)","Armed Drug Suspects (Philippines)","Police Forces of the Philippines (2016-)","","Unidentified Armed G","Armed Drug Suspects ","Police Forces of the","nan","Soccsksargen","South Cotabato","Koronadal","Koronadal","6.502999999999999","124.8469","1","Philippine News Agency","National","1","A police officer was shot and killed by suspected hired guns at Koronadal City, South Cotabato province on December 5, 2018. The assailants may have been hired by a drug syndicate."
"2018-12-05","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of the Philippines (2016-)","","NPA: New People's Army","","Military Forces of t","nan","NPA: New People's Ar","nan","Northern Mindanao","Bukidnon","Impasugong","Hagpa","8.4419","125.2228","1","Mindanao Goldstar Daily","Subnational","0","Soldiers launched missile attacks at suspected members of the NPA at Barangay Hagpa, Impasugong town, Bukidnon province on December 5, 2018."
"2018-12-05","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of the Philippines (2016-)","","NPA: New People's Army","","Military Forces of t","nan","NPA: New People's Ar","nan","Northern Mindanao","Bukidnon","Impasugong","Kalabugao","8.4639","125.1565","1","Mindanao Goldstar Daily","Subnational","0","Soldiers launched missile attacks at suspected members of the NPA at Barangay Calabugao, Impasugong town, Bukidnon province on December 5, 2018."
