"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Baliuag","Baliuag","14.9547","120.8969","2","Philippine Star","National","1","A drug suspect was killed during a police raid in Baliuag town, Bulacan province sometime between the night of July 31 and the morning of August 1."
"2018-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Pulilan","Pulilan","14.9016","120.8491","2","Philippine Star","National","1","A drug suspect was killed during a police raid in Pulilan town, Bulacan province sometime between the night of July 31 and the morning of August 1."
"2018-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Santa Maria","Santa Maria","14.8208","120.9636","2","Philippine Star","National","1","A drug suspect was killed during a police raid in Santa Maria town, Bulacan province sometime between the night of July 31 and the morning of August 1."
"2018-08-01","Battles","Armed clash","NPA: New People's Army","","Police Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Police Forces of the","nan","Caraga","Agusan del Norte","Carmen","Tagcatong","8.9926","125.2553","1","Philippine Star","National","0","Two police officers were wounded during an encounter with around 60 NPA fighters at Barangay Tagcatong, Carmen town, Agusan del Norte province on August 1."
"2018-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Hagonoy","Hagonoy","14.8","120.7167","2","Philippine Star","National","1","A drug suspect was killed during a police raid in Hagonoy town, Bulacan province sometime between the night of July 31 and the morning of August 1."
"2018-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Malolos","Malolos","14.8443","120.8104","1","Philippine Star","National","1","A drug suspect was killed during a police raid in Malolos City, Bulacan province sometime between the night of July 31 and the morning of August 1."
"2018-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","Obando","Obando","14.7069","120.93","2","Philippine Star","National","1","A drug suspect was killed during a police raid in Obando town, Bulacan province sometime between the night of July 31 and the night of August 1."
"2018-08-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Mimaropa Region","Occidental Mindoro","Santa Cruz","Barahan","13.0121","120.762","1","Philippine Daily Inquirer","National","0","A soldier from the 76th Infantry Battalion was wounded during an encounter with alleged NPA fighters at Barangay Barahan, Santa Cruz town, Occidental Mindoro province on August 1."
"2018-08-01","Explosions/Remote violence","Remote explosive/landmine/IED","NPA: New People's Army","","Military Forces of the Philippines (2016-) Coast Guard","","NPA: New People's Ar","nan","Military Forces of t","nan","Bicol Region","Masbate","Masbate City","Masbate City","12.3716","123.6249","1","Sunstar (Philippines); Manila Times","National","0","On 1 Aug 2018, a bomb allegedly by the New People's Army (NPA) exploded near a speedboat of the Philippine Coast Guard which is docked at a port in Masbate City, Masbate, damaging one of the motor bancas."
"2018-08-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Manila Bulletin","National","2","Two drug suspects were killed during a police raid at Tondo, Manila, Metro Manila on 1 Aug 2018."
