"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2017-03-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","San Ildefonso","San Ildefonso","15.0809","120.941","2","Foundation for Media Alternatives; Northern Philippine Times","Local partner-National","1","A drug suspect was killed in a vigilante-style attack by unidentified assailants at San Ildefonso, Bulacan on 01 Mar 2017."
"2017-03-01","Battles","Armed clash","ASG: Abu Sayyaf","","Military Forces of the Philippines (2016-) Scout Ranger","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Sulu","Indanan","Buanza","6.0258","120.9614","1","Xinhua","International","5","Soldiers from the 2nd Scout Ranger Battalion encountered Abu Sayyaf militants in the jungle of Bud Taran, near the area of Buanza village, Indanan, Sulu on March 1. Five militants were killed and 11 soldiers wounded."
"2017-03-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Eastern Visayas","Leyte","Kananga","Kananga","11.1867","124.5601","2","Philippine Daily Inquirer; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was killed during a police raid at Kananga, Leyte on 01 Mar 2017."
"2017-03-02","Violence against civilians","Attack","Military Forces of the Philippines (2016-)","","Civilians (Philippines)","Farmers (Philippines); Women (Philippines)","Military Forces of t","nan","Civilians (Philippin","Farmers (Philippines","Davao Region","Davao de Oro","Compostela","Osmena","7.6669","126.1095","1","Front Line Defenders; Bulatlat; Davao Today; ProtectDefenders.eu","Local partner-Other","2","Two farmer activists, and members of the Davao de Oro Farmers Association (CFA) were shot dead inside their house at Gawad Kalinga village, Barangay Osmena in Compostela town, Davao de Oro Province on 2 Mar 2017. Karapatan claims it to be a case of extrajudicial killings by suspected state agents (assumed military)."
"2017-03-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Calabarzon","Rizal","Rodriguez","Puray","14.8109","121.2446","1","Philippine Daily Inquirer","National","2","Government soldiers encountered New People's Army rebels at Barangay Puray, Rodriguez town, Rizal on March 2. Two Dumagat tribe members were allegedly killed in the crossfire."
"2017-03-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","BARMM","Maguindanao","Parang","Parang","7.3703","124.2697","2","Philippine Star","National","1","A senior education official in Lanao del Sur province was killed in a gun attack in Parang town, Maguindanao on March 3 afternoon. There are indications that the incident could be related either to an old grudge or a clan war involving the victim's family."
"2017-03-03","Explosions/Remote violence","Grenade","Unidentified Armed Group (Philippines)","","","","Unidentified Armed G","nan","nan","nan","Eastern Visayas","Samar","Catbalogan","Catbalogan","11.7752","124.8861","1","Philippine Daily Inquirer","National","0","On 3 March 2017, a grenade exploded outside the gate of a civilian's home in Barangay Silanga, Catbalogan city shortly after a first explosion in the city. No one was hurt in the second explosion."
"2017-03-03","Battles","Armed clash","ASG: Abu Sayyaf","","Military Forces of the Philippines (2016-)","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Sulu","Patikul","Taglibi","6.0809","121.1124","1","Philippine Star","National","10","03 March. Government troops of the 32nd Infantry Battalion encountered about 150 Abu Sayyaf militants at Barangay Taglibi, Patikul town, Sulu on March 3. Government troops were supported by airstrike and ground artillery. Several soldiers were wounded and at least 10 militants reportedly killed."
"2017-03-03","Violence against civilians","Attack","Military Forces of the Philippines (2016-)","","Civilians (Philippines)","Farmers (Philippines)","Military Forces of t","nan","Civilians (Philippin","Farmers (Philippines","Davao Region","Davao Oriental","Lupon","Maragatas","7.1166","126.21799999999999","1","Davao Today","Subnational","0","A farmer was allegedly tortured by government soldiers and forced admit that he was bringing rice for the communist rebels at Sitio Tagada, Barangay Maragatas, Lupon town, Davao Oriental on March 3."
"2017-03-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Foundation for Media Alternatives; Via Negativa","Local partner-National","1","A drug suspect was killed in a vigilante-style attack by unidentified motorcycle-riding assailants at Quezon City, Metro Manila on 03 Mar 2017."
