"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2017-01-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Antique","Culasi","Esperanza","11.4579","122.0664","1","Philippine Star; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was shot dead by undercover police during a sting in Barangay Esperanza in Culasi, Antique, on January 1st."
"2017-01-02","Battles","Armed clash","Police Forces of the Philippines (2016-)","","Armed Drug Suspects (Philippines)","","Police Forces of the","nan","Armed Drug Suspects ","nan","Central Luzon","Tarlac","Camiling","Cacamilingan Norte","15.6882","120.4198","1","Philippine Star; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was shot dead by police during a gun battle in his hideout in Barangay Cacamilingan Norte, Camiling, Tarlac on January 2nd. 2 police personnel were wounded in the battle."
"2017-01-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","San Jose del Monte","San Jose del Monte","14.8138","121.0452","1","Philippine Star","National","3","3 drug suspects were shot dead by police during a police raid in Barangay Mozon of San Jose Del Monte, Bulacan, on January 2nd."
"2017-01-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Caloocan","Caloocan","14.6495","120.9678","1","Foundation for Media Alternatives; Philippine Daily Inquirer","Local partner-National","4","Four drug suspects were shot and killed in a vigilante-style attack by unidentified assailants at Caloocan City, Metro Manila on January 2, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Daily Inquirer","National","1","An unidentified drug suspect was shot and killed in a vigilante-style attack by unidentified assailants at Manila, Metro Manila on January 2, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Zamboanga Peninsula","Zamboanga Sibugay","Buug","Basalem","7.737","123.0879","1","Philippine Star","National","0","The mayor of a town in Zamboanga del Sur was unhurt in an ambush by unidentified armed men in Barangay Basalem, Buug area, Zamboanga Sibugay on January 2 night. No individual or group claimed responsibility for the shooting but Muslim and communist rebels are known to operate in the province."
"2017-01-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Philippine Daily Inquirer; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was shot and killed during a police raid at Quezon City, Metro Manila on January 3, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Pasay","Pasay","14.5374","121.0014","1","Foundation for Media Alternatives; Philippine Daily Inquirer","Local partner-National","1","A drug suspect was shot and killed in a vigilante-style attack by unidentified assailants at Pasay City, Metro Manila on January 3, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Cebu City","Cebu City","10.3167","123.8907","1","Philippine Daily Inquirer; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was shot and killed during a police raid at Cebu City, Cebu province on January 3, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-03","Violence against civilians","Attack","MILF: Moro Islamic Liberation Front","","Civilians (Philippines)","Prisoners (Philippines)","MILF: Moro Islamic L","nan","Civilians (Philippin","Prisoners (Philippin","BARMM","Lanao del Sur","Balindong","Balindong","7.9166","124.2002","2","Manila Times","National","3","Moro Islamic Liberation Front (MILF) rebels executed three men found guilty of murder assumed at Balindong town in Lanao del Sur. A video of the execution was shared on Facebook on January 3."
"2017-01-03","Battles","Armed clash","ASG: Abu Sayyaf","","Military Forces of the Philippines (2016-)","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Basilan","Lamitan","Lamitan","6.6502","122.1295","2","Business Mirror (Philippines)","National","0","Navy personnel foiled an attempt by suspected members of the Abu Sayyaf to hijack a container ship off Sibago Island in Basilan on January 3 afternoon. The MV Ocean Kingdom sustained gunshot holes on her port and starboard sides, but no casualty was reported among her crew members."
"2017-01-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Antique","San Jose de Buenavista","Funda-Dalipe","10.7611","121.9371","1","Philippine Daily Inquirer; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was shot dead by police during a sting in Barangay Funda-Dalipe, San Jose, Antique on January 3."
"2017-01-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Taguig","Taguig","14.5333","121.0666","1","Philippine Daily Inquirer","National","2","Two unidentified drug suspects were shot and killed in a vigilante-style attack by unidentified assailants at Taguig, Metro Manila on January 3, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Makati","Makati","14.5502","121.0326","1","Philippine Daily Inquirer","National","1","An unidentified drug suspect was shot and killed in a vigilante-style attack by unidentified assailants at Makati City, Metro Manila on January 3, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Pasig","Pasig","14.5869","121.0614","1","Philippine Daily Inquirer","National","1","A drug suspect was shot and killed in a vigilante-style attack by unidentified assailants at Pasig City, Metro Manila on January 3, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Government of the Ph","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Star; Foundation for Media Alternatives","Local partner-National","1","A barangay councilor and parent of a drug personality was killed in a vigilante-style attack by unidentified motorcycle-riding assailants at Manila, Metro Manila on 03 Jan 2017."
"2017-01-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","","Anti-Drug Vigilantes","nan","Civilians (Philippin","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Star; Foundation for Media Alternatives","Local partner-National","1","A relative of a drug personality was killed in a vigilante-style attack by unidentified motorcycle-riding assailants at Manila, Metro Manila on 03 Jan 2017."
"2017-01-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Rizal","Cainta","Cainta","14.5786","121.1222","2","Philippine Daily Inquirer; Foundation for Media Alternatives","Local partner-National","1","A drug suspect was shot and killed during a police raid at Cainta town, Rizal province on January 3, 2017 as reported in the Philippine Daily Inquirer Kill List."
"2017-01-04","Battles","Armed clash","Police Forces of the Philippines (2016-)","","Armed Drug Suspects (Philippines)","","Police Forces of the","nan","Armed Drug Suspects ","nan","NCR","Metro Manila","Pasay","Pasay","14.5374","121.0014","2","Foundation for Media Alternatives; Thai News Service","Local partner-National","1","A police officer was killed by suspected drug dealers during an anti-drug operation in Pasay City, Metro Manila, on Jan 4."
