,Province,Capital,,Population,Area,Density,Founded,Island_group,Region,Mun_LGUs,City_LGUs,Brgy_LGUs
58,Occidental Mindoro,Mamburao,0.5,487414.0,5865.71,83.0,15 Nov 1950,Luzon,Mimaropa,11,—,162
59,Oriental Mindoro,Calapan,0.8,844059.0,4238.38,200.0,1663,Luzon,Mimaropa,14,1,426
60,Palawan,Puerto Princesa,1.1,1104585.0,17030.75,65.0,23 Jan 1902,Luzon,Mimaropa,23,1,433
61,Pampanga,San Fernando,2.6,2609744.0,2062.47,1300.0,11 Dec 1571,Luzon,III,19,3,538
62,Pangasinan,Lingayen,2.9,2956726.0,5451.01,540.0,5 Apr 1580,Luzon,I,44,4,"1,364"
63,Quezon,Lucena,2.1,2122830.0,9069.6,230.0,2 Mar 1901,Luzon,IV-A,39,2,"1,242"
64,Quirino,Cabarroguis,0.2,188991.0,2323.47,81.0,18 Jun 1966,Luzon,II,6,—,132
65,Rizal,Antipolo,2.9,2884227.0,1191.94,2400.0,23 Feb 1853,Luzon,IV-A,13,1,188
66,Romblon,Romblon,0.3,292781.0,1533.45,190.0,16 Mar 1901,Luzon,Mimaropa,17,—,219
67,Samar,Catbalogan,0.8,780481.0,6048.03,130.0,1768,Visayas,VIII,24,2,951
68,Sarangani,Alabel,0.5,544261.0,3601.25,150.0,16 Mar 1992,Mindanao,XII,7,—,141
69,Siquijor,Siquijor,0.1,95984.0,337.49,280.0,17 Sep 1971,Visayas,VII,6,—,134
70,Sorsogon,Sorsogon City,0.8,792949.0,2119.01,370.0,17 Oct 1894,Luzon,V,14,1,541
71,South Cotabato,Koronadal,1.5,1509735.0,4428.81,340.0,18 Jun 1966,Mindanao,XII,10,2,225
72,Southern Leyte,Maasin,0.4,421750.0,1798.61,230.0,22 May 1959,Visayas,VIII,18,1,500
73,Sultan Kudarat,Isulan,0.8,812095.0,5298.34,150.0,22 Nov 1973,Mindanao,XII,11,1,249
74,Sulu,Jolo,0.8,824731.0,1600.4,520.0,10 Mar 1917,Mindanao,BARMM,19,—,410
75,Surigao del Norte,Surigao City,0.5,485088.0,1972.93,250.0,15 May 1901,Mindanao,XIII,20,1,335
76,Surigao del Sur,Tandag,0.6,592250.0,4932.7,120.0,16 Jun 1960,Mindanao,XIII,17,2,309
77,Tarlac,Tarlac City,1.4,1366027.0,3053.6,450.0,28 Mar 1873,Luzon,III,17,1,511
78,Tawi-Tawi,Bongao,0.4,390715.0,1087.4,360.0,11 Sep 1973,Mindanao,BARMM,11,—,203
79,Zambales,Iba,0.8,823888.0,3830.83,220.0,1578,Luzon,III,13,1,247
80,Zamboanga del Norte,Dipolog,1.0,1011393.0,7301.0,140.0,6 Jun 1952,Mindanao,IX,25,2,691
81,Zamboanga del Sur,Pagadian,1.9,1872473.0,5914.16,320.0,1 Sep 1914,Mindanao,IX,26,2,779
82,Zamboanga Sibugay,Ipil,0.6,633129.0,3607.75,180.0,22 Feb 2001,Mindanao,IX,16,—,389
83,Metro Manila,Manila †,12.8,12877253.0,638.55,20000.0,—,Luzon,NCR,1,16,"1,706"
