"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-11-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Central Luzon","Nueva Ecija","Pantabangan","Malbang","15.7895","121.1882","1","Manila Bulletin","National","0","One soldier from the 91st Infantry Battalion was wounded during an encounter with members of the NPA at Barangay Malbang, Pantabangan town, Nueva Ecija province on November 2, 2018."
"2018-11-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","BARMM","Maguindanao","Cotabato City","Cotabato City","7.2236","124.2463","1","Philippine News Agency","National","2","Two drug suspects were killed in a police raid at Cotabato City, Maguindanao province on November 3, 2018."
"2018-11-04","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Central Visayas","Negros Oriental","Guihulngan","Guihulngan","10.1214","123.2742","1","Sunstar (Philippines)","National","1","A soldier from the Candalanon Civilian Active Auxiliary Patrol was killed by suspected members of the NPA at Barangay Trinidad, Guihulngan City, Negros Oriental province on November 4, 2018."
"2018-11-04","Battles","Armed clash","Unidentified Armed Group (Philippines)","","Police Forces of the Philippines (2016-)","","Unidentified Armed G","nan","Police Forces of the","nan","BARMM","Maguindanao","Cotabato City","Cotabato City","7.2236","124.2463","1","Philippine Star","National","1","A police officer was killed by unidentified assailants at Cotabato City, Maguindanao province on November 4, 2018. His civilian companion was wounded."
"2018-11-04","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Calabarzon","Quezon","General Nakar","Umiray","15.1034","121.4227","1","Manila Bulletin","National","1","A soldier from the 92nd Infantry Battalion was killed during an encounter with suspected members of the NPA at Sitio Dadyangao, Barangay Umiray, General Nakar town, Quezon province on 4 November 2018. There was a second encounter between the 92nd Infantry Battalion and suspected members of the NPA at Sitio Madaraki, Barangay Umiray, General Nakar town, Quezon province on the same day."
"2018-11-05","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Cavite","Imus","Imus","14.4297","120.9366","1","Philippine Daily Inquirer","National","1","A drug suspect was killed during a vigilante-style attack by unidentified assailants at Barangay Alapan 2b, Imus City, Cavite province on November 5, 2018."
"2018-11-05","Violence against civilians","Attack","Police Forces of the Philippines (2016-) Counter Intelligence Task Force","Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency","Civilians (Philippines)","Drug Suspects (Philippines); Police Forces of the Philippines (2016-)","Police Forces of the","Police Forces of the","Civilians (Philippin","Drug Suspects (Phili","Zamboanga Peninsula","Zamboanga del Norte","Dipolog","Dipolog","8.582","123.3447","1","Philippine Daily Inquirer","National","1","A police officer and drug suspect was killed during a joint operation by the Counter Intelligence Task Force of the PNP and PDEA in Dipolog City, Zamboanga del Norte province on November 5, 2018. Victim assumed to be off-duty and unarmed at time of attack."
"2018-11-05","Battles","Armed clash","ASG: Abu Sayyaf","","Military Forces of the Philippines (2016-)","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Sulu","Patikul","Panglayahan","6.0611","121.1149","1","Manila Times","National","0","Four soldiers from the 32nd Infantry Battalion were wounded during an encounter with Abu Sayyaf rebels at Barangay Panglayahan, Patikul town, Sulu province on November 5, 2018."
"2018-11-06","Strategic developments","Disrupted weapons use","Unidentified Armed Group (Philippines)","","Military Forces of the Philippines (2016-)","","Unidentified Armed G","nan","Military Forces of t","nan","BARMM","Maguindanao","Ampatuan","Ampatuan","6.7855","124.4237","2","Philippine Daily Inquirer","National","0","Defusal: Bomb disposal experts from the 32nd Explosive Ordnance Disposal defused a bomb planted by unidentified assailants at a road in Ampatuan town, Maguindanao province on November 6, 2018."
"2018-11-06","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Former Government of","Cagayan Valley","Isabela","Burgos","Catabban","17.0326","121.7401","1","Philippine Daily Inquirer","National","1","A former village captain was shot and killed by unidentified assailants at Barangay Catabban, Burgos town, Isabela province on 6 November 2018."
