"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2020-08-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","2","ABS CBN","National","1","Around 1 August 2020, a drug suspect was shot dead in a vigilante-style attack by unidentified assailants, with the body found in Barangay Pinyahan, Quezon City. The body of the slain suspect was tied to a lamppost and was found with a sign that said 'holdaper/snatcher pusher ako wag tularan' ('I am a robber and drug pusher; don't be like me.'). The exact time and place of the killing are unknown. The body was found on 1 August."
"2020-08-01","Strategic developments","Disrupted weapons use","Military Forces of the Philippines (2016-)","","NPA: New People's Army","","Military Forces of t","nan","NPA: New People's Ar","nan","Davao Region","Davao de Oro","Pantukan","Napnapan","7.1248","125.9486","1","Philippine Information Agency","National","0","On 1 August 2020, the military recovered an NPA explosives cache containing 4 kilos of IEDs in Barangay Napnapan (Pantukan, Davao de Oro, Davao Region)."
"2020-08-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Northern Mindanao","Bukidnon","Cabanglasan","Mandahikan","8.0555","125.3575","1","Manila Bulletin; GMA News; Mindanao Goldstar Daily","Subnational-National","1","On 1 August 2020, a suspected NPA militant was shot dead in a 10-minute firefight between the NPA and the military in Barangay Mandahikan, Cabanglasan, Bukidnon. The military reported no casualties and said it retrieved weapons and other items from the rebels."
"2020-08-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Bicol Region","Camarines Sur","Baao","San Francisco","13.4457","123.3417","1","Philippine Daily Inquirer","National","1","On 2 August 2020, a drug suspect was killed during a police raid in Barangay San Francisco, Baao, Camarines Sur. Police said they recovered shabu (crystal meth) from the slain suspect, who they said was on the town's drug watchlist."
"2020-08-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Soccsksargen","Sarangani","Maasim","Bales","5.8871","125.0012","1","Philippine Information Agency; Philippine Star","National","0","On 2 August 2020, the NPA and the military engaged in a firefight in Barangay Bales, Maasim, Sarangani. The military warded off the rebels who were reportedly trying to attack a government infrastructure project presided over by a private contractor. There were no reported casualties on both sides."
"2020-08-02","Violence against civilians","Attack","Dawlah Islamiyah","AKP: Ansar al-Khilafah in the Philippines","Civilians (Philippines)","","Dawlah Islamiyah","AKP: Ansar al-Khilaf","Civilians (Philippin","nan","Soccsksargen","South Cotabato","Polomolok","Crossing Palkan","6.2618","125.0053","1","Manila Bulletin","National","1","On 2 August 2020, a civilian was killed after being attacked by suspected Dawlah Islamiyah militants (also reportedly affiliated with Ansar al-Khilafah) in Barangay Crossing Palkan (Polomolok, South Cotabato, Soccsksargen). The suspected militants robbed the victim."
"2020-08-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Soccsksargen","South Cotabato","General Santos","General Santos","6.1127","125.1716","1","Philippine News Agency","National","1","On 3 August 2020, a barangay councilor was shot dead by unidentified assailants in Barangay Dadiangas North, General Santos, South Cotabato. The motive for the attack was unclear."
"2020-08-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Police Forces of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Police Forces of the","Ilocos Region","Pangasinan","Calasiao","Calasiao","16.0111","120.36","1","Philippine News Agency","National","0","On 3 August 2020, a police officer and his son were left unscathed in a gun attack by unidentified assailants in Calasiao, Pangasinan. The motive for the attack was unclear. The police officer was about to have lunch with his son when attacked and is assumed off-duty."
"2020-08-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Cagayan Valley","Isabela","Cauayan","Cauayan","16.9347","121.7725","1","Tempo (Philippines)","National","1","On 3 August 2020, a drug suspect was killed during a police raid in Barangay Cabaruan, Cauayan, Isabela. Police reported retrieving shabu (crystal meth) from the slain suspect."
"2020-08-04","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Calabarzon","Laguna","Kalayaan","San Antonio","14.3423","121.5796","1","Manila Bulletin; Tempo (Philippines); GMA News","National","3","On 4 August 2020, three NPA militants were killed during an hour-long firefight between the NPA and the military in Barangay San Antonio, Kalayaan, Laguna. The military reported no casualties and said it retrieved weapons and other items from the rebels. The military also said more rebels could have been wounded, as evidenced by blood stains in the area."
"2020-08-04","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-)","NPA: New People's Ar","nan","Military Forces of t","Police Forces of the","Central Luzon","Nueva Ecija","Quezon","San Alejandro","15.561","120.84899999999999","1","Punto; Philippine Daily Inquirer; Manila Bulletin","Subnational-National","3","On 4 August 2020, three NPA militants were killed during a 10-minute firefight with a joint police and military team in Barangay San Alejandro, Quezon, Nueva Ecija. The joint police and military team was attempting to serve one of the militants a warrant of arrest when they were met with gunfire. The joint team also said they recovered weapons and other items from the rebels."
"2020-08-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","San Rafael","Pantubig","14.968","120.9547","1","Philippine News Agency; Philippine Star","National","1","On 4 August 2020, a drug suspect was killed during a police raid in Barangay Pantubig, San Rafael, Bulacan. Police said they recovered shabu (crystal meth) from the slain suspect."
"2020-08-04","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former NPA: New People's Army","Unidentified Armed G","nan","Civilians (Philippin","Former NPA: New Peop","Bicol Region","Sorsogon","Sorsogon City","Sorsogon City","12.9738","123.9933","1","Philippine News Agency; Philippine Daily Inquirer","National","1","On 4 August 2020, a former NPA rebel was shot dead by unidentified assailants in Barangay San Jose Maricrum, Sorsogon City, Sorsogon."
"2020-08-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Soccsksargen","South Cotabato","General Santos","General Santos","6.1127","125.1716","1","Philippine News Agency","National","1","On 4 August 2020, a drug suspect was killed during a police raid in Barangay Tambler, General Santos, South Cotabato. Police said they recovered shabu (crystal meth) from the slain suspect, who they said to be on the city drug watchlist."
"2020-08-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Bicol Region","Camarines Sur","Iriga","Iriga","13.4167","123.4167","1","Philippine Daily Inquirer","National","1","On 4 August 2020, a drug suspect was killed during a police raid in Barangay Santa Cruz Sur, Iriga, Camarines Sur. Police said they recovered shabu (crystal meth) from the slain suspect, who they said to be a high-value target."
"2020-08-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines); Prisoners (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Soccsksargen","Cotabato","Matalam","Matalam","7.0863","124.9005","1","Philippine News Agency","National","1","On 4 August 2020, a drug suspect was killed while already in police custody in Matalam, Cotabato. The drug suspect was arrested at a checkpoint for illegal firearm possession and was being transported to a police station. Police said the suspect attempted to grab a police officer's firearm while inside the vehicle, purportedly forcing the police officers to kill him. Police said the slain suspect was the leader of a crime gang involved in drugs."
"2020-08-04","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","San Pablo","San Pablo","14.0683","121.3256","1","Philippine Star","National","1","On 4 August 2020, a drug suspect was killed during a police raid in San Pablo, Laguna."
"2020-08-04","Protests","Peaceful protest","Protesters (Philippines)","AHW: Alliance of Health Workers; Health Workers (Philippines)","","","Protesters (Philippi","AHW: Alliance of Hea","nan","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Manila Times; Manila Standard","National","0","On 4 August 2020, health workers at the Jose Fabella Memorial Hospital, led by its AHW-affiliated union, staged a silent protest in front of the hospital in Santa Cruz, Manila, in order to condemn the shortcomings of the government response to the COVID-19 (coronavirus) pandemic and in order to demand better working conditions for medical workers. [size=no report]"
"2020-08-05","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Zamboanga Peninsula","Zamboanga del Norte","Leon B. Postigo","Midatag","8.101","122.9975","1","Manila Bulletin","National","0","On 5 August 2020, an NPA militant was wounded and arrested during a 10-minute firefight between the NPA and the military in Barangay Midatag, Leon B. Postigo, Zamboanga del Norte. The military reported no casualties."
"2020-08-05","Strategic developments","Disrupted weapons use","Military Forces of the Philippines (2016-)","","NPA: New People's Army","","Military Forces of t","nan","NPA: New People's Ar","nan","Northern Mindanao","Bukidnon","Kitaotao","Balukbukan","7.5854","125.0698","1","Manila Bulletin","National","0","On 5 August 2020, the military recovered an NPA arms cache containing two IEDs in Barangay Balukbukan, Kitaotao, Bukidnon."
"2020-08-05","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Zamboanga Peninsula","Zamboanga del Sur","Zamboanga City","Zamboanga City","6.9102","122.0738","1","Sunstar (Philippines)","National","1","On 5 August 2020, a drug suspect was killed during a police raid in Barangay San Roque, Zamboanga City, Zamboanga del Sur. Police said they recovered shabu (crystal meth) from the slain suspect."
"2020-08-05","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Bicol Region","Camarines Sur","Tinambac","Tinambac","13.85","123.35","1","Philippine News Agency; Philippine Information Agency","National","0","On 5 August 2020, the NPA and the military engaged in a 10-minute firefight in Tinambac, Camarines Sur. There were no reported casualties on both sides, though the military reported retrieving an explosives cache and other items from the rebels."
"2020-08-05","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency","Civilians (Philippines)","Drug Suspects (Philippines); Military Forces of the Philippines (2016-)","Police Forces of the","Police Forces of the","Civilians (Philippin","Drug Suspects (Phili","Davao Region","Davao del Sur","Digos","Digos","6.7497","125.3572","1","GMA News; Philippine Daily Inquirer; Philippine News Agency","National","1","On 5 August 2020, a drug suspect also serving as a soldier was killed during a raid by a joint police and PDEA team in Barangay Zone 3, Digos, Davao del Sur. Authorities said they recovered shabu (crystal meth) from the slain suspect. The drug suspect-cum-soldier was driving when pursued by the police and is assumed off-duty as a soldier at that time."
"2020-08-05","Strategic developments","Disrupted weapons use","Military Forces of the Philippines (2016-)","","NPA: New People's Army","","Military Forces of t","nan","NPA: New People's Ar","nan","Northern Mindanao","Bukidnon","Kitaotao","Sinaysayan","7.5883","125.0964","1","Manila Bulletin","National","0","On 5 August 2020, the military recovered an NPA arms cache containing IED components, a rifle, magazines and ammunition in Barangay Sinaysayan, Kitaotao, Bukidnon."
"2020-08-06","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Soccsksargen","South Cotabato","General Santos","General Santos","6.1127","125.1716","1","Philippine News Agency","National","1","On 6 August 2020, a drug suspect was killed during a police raid in Barangay Calumpang, General Santos, South Cotabato. Police said they recovered shabu (crystal meth) from the slain suspect, who they said to be on the city drug watchlist."
"2020-08-06","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Zamboanga Peninsula","Zamboanga del Norte","Leon B. Postigo","Tinuyop","8.0553","122.9327","1","Manila Bulletin","National","0","On 6 August 2020, a local NPA commander was wounded during a 15-minute firefight between the NPA and the military in Barangay Tinuyop, Leon B. Postigo, Zamboanga del Norte. The wounded commander and another rebel tending to him were arrested by the military."
"2020-08-07","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Eastern Visayas","Leyte","Tacloban","Tacloban","11.2433","125.0047","1","Philippine Star","National","1","On 7 August 2020, a drug suspect (also the son of a former city prosecutor) was shot dead in a vigilante-style attack by unidentified assailants along Calanipawan Road in Tacloban, Leyte. Police said the slain suspect was on their drug watchlist and had just been released from jail in July."
"2020-08-07","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-)","NPA: New People's Ar","nan","Military Forces of t","Police Forces of the","Calabarzon","Laguna","Kalayaan","San Antonio","14.3423","121.5796","1","Manila Bulletin; CNN; Philippine Daily Inquirer","National-International","1","On 7 August 2020, a local NPA leader was killed in a firefight between the NPA and a joint military and police team in Barangay San Antonio, Kalayaan, Laguna. State forces reported no casualties."
"2020-08-07","Strategic developments","Disrupted weapons use","Military Forces of the Philippines (2016-)","","NPA: New People's Army","","Military Forces of t","nan","NPA: New People's Ar","nan","Northern Mindanao","Bukidnon","Kitaotao","Tandong","7.6058","125.068","1","Manila Bulletin","National","0","On 7 August 2020, the military discovered and overran an NPA hideout in Barangay Tandong, Kitaotao, Bukidnon. The military retrieved an NPA anti-personnel mine."
